1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	1
1949	0
1950	2
1951	2
1952	2
1953	1
1954	1
1955	1
1956	2
1957	4
1958	0
1959	3
1960	3
1961	0
1962	0
1963	0
1964	1
1965	1
1966	1
1967	1
1968	2
1969	2
1970	2
1971	0
1972	1
1973	3
1974	3
1975	0
1976	0
1977	0
1978	0
1979	1
1980	0
1981	0
1982	3
1983	0
1984	1
1985	1
1986	0
1987	0
1988	1
1989	0
1990	1
1991	1
1992	0
1993	0
1994	2
1995	2
1996	0
1997	2
1998	0
1999	0
2000	4
2001	1
2002	3
2003	2
2004	1
2005	2
2006	1
2007	3
2008	3
2009	4
2010	4
2011	3
2012	3
2013	2
2014	3
