1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	1
1946	1
1947	1
1948	1
1949	1
1950	0
1951	3
1952	2
1953	0
1954	1
1955	2
1956	1
1957	1
1958	3
1959	3
1960	3
1961	6
1962	2
1963	2
1964	2
1965	6
1966	8
1967	11
1968	11
1969	6
1970	6
1971	11
1972	8
1973	9
1974	14
1975	7
1976	13
1977	19
1978	14
1979	22
1980	27
1981	22
1982	38
1983	34
1984	60
1985	76
1986	91
1987	106
1988	137
1989	164
1990	217
1991	218
1992	282
1993	330
1994	354
1995	419
1996	507
1997	582
1998	616
1999	758
2000	776
2001	877
2002	1015
2003	1158
2004	1193
2005	1351
2006	1432
2007	1600
2008	1702
2009	1928
2010	2239
2011	2667
2012	2924
2013	3139
2014	3252
