1930	2
1931	3
1932	2
1933	6
1934	4
1935	3
1936	3
1937	3
1938	3
1939	3
1940	2
1941	2
1942	1
1943	2
1944	1
1945	10
1946	44
1947	42
1948	55
1949	59
1950	63
1951	65
1952	56
1953	50
1954	64
1955	56
1956	61
1957	36
1958	66
1959	56
1960	76
1961	70
1962	73
1963	82
1964	84
1965	129
1966	107
1967	116
1968	112
1969	134
1970	158
1971	172
1972	154
1973	207
1974	205
1975	212
1976	265
1977	275
1978	322
1979	291
1980	337
1981	298
1982	355
1983	401
1984	422
1985	445
1986	458
1987	481
1988	505
1989	520
1990	586
1991	546
1992	676
1993	619
1994	768
1995	700
1996	818
1997	775
1998	933
1999	929
2000	962
2001	982
2002	1177
2003	1225
2004	1347
2005	1361
2006	1605
2007	1698
2008	1796
2009	1967
2010	2136
2011	2321
2012	2466
2013	2631
2014	2908
