1930	0
1931	0
1932	1
1933	0
1934	2
1935	1
1936	1
1937	0
1938	1
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	3
1947	3
1948	2
1949	3
1950	4
1951	2
1952	1
1953	2
1954	4
1955	3
1956	8
1957	7
1958	8
1959	0
1960	1
1961	2
1962	3
1963	4
1964	5
1965	12
1966	8
1967	2
1968	6
1969	8
1970	12
1971	8
1972	10
1973	9
1974	5
1975	11
1976	6
1977	4
1978	5
1979	9
1980	9
1981	2
1982	6
1983	4
1984	6
1985	4
1986	4
1987	5
1988	6
1989	4
1990	2
1991	5
1992	5
1993	4
1994	1
1995	2
1996	2
1997	1
1998	1
1999	1
2000	5
2001	4
2002	2
2003	3
2004	3
2005	5
2006	5
2007	2
2008	2
2009	2
2010	2
2011	4
2012	2
2013	2
2014	6
