1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	1
1940	0
1941	0
1942	1
1943	0
1944	0
1945	1
1946	10
1947	20
1948	58
1949	59
1950	66
1951	70
1952	58
1953	51
1954	42
1955	23
1956	16
1957	20
1958	13
1959	6
1960	6
1961	7
1962	9
1963	3
1964	1
1965	2
1966	2
1967	3
1968	4
1969	3
1970	3
1971	2
1972	6
1973	4
1974	1
1975	7
1976	1
1977	0
1978	2
1979	0
1980	3
1981	1
1982	0
1983	0
1984	1
1985	1
1986	0
1987	2
1988	2
1989	0
1990	1
1991	0
1992	3
1993	6
1994	0
1995	1
1996	4
1997	1
1998	2
1999	5
2000	2
2001	2
2002	0
2003	2
2004	4
2005	4
2006	3
2007	1
2008	2
2009	1
2010	0
2011	1
2012	2
2013	3
2014	5
