1930	7
1931	13
1932	12
1933	26
1934	15
1935	23
1936	17
1937	12
1938	13
1939	11
1940	12
1941	10
1942	6
1943	6
1944	8
1945	17
1946	42
1947	46
1948	58
1949	41
1950	63
1951	95
1952	91
1953	62
1954	80
1955	90
1956	77
1957	69
1958	83
1959	89
1960	88
1961	100
1962	91
1963	103
1964	101
1965	137
1966	122
1967	142
1968	170
1969	190
1970	163
1971	186
1972	159
1973	173
1974	151
1975	141
1976	152
1977	159
1978	174
1979	173
1980	128
1981	123
1982	129
1983	144
1984	154
1985	157
1986	159
1987	132
1988	149
1989	165
1990	155
1991	133
1992	123
1993	143
1994	143
1995	143
1996	147
1997	140
1998	168
1999	171
2000	218
2001	239
2002	310
2003	364
2004	495
2005	559
2006	697
2007	825
2008	855
2009	1053
2010	1143
2011	1207
2012	1337
2013	1435
2014	1589
