1930	1
1931	1
1932	0
1933	0
1934	1
1935	0
1936	0
1937	0
1938	0
1939	1
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	9
1947	7
1948	7
1949	11
1950	16
1951	9
1952	17
1953	29
1954	20
1955	27
1956	35
1957	23
1958	17
1959	14
1960	26
1961	24
1962	28
1963	38
1964	29
1965	29
1966	24
1967	14
1968	10
1969	8
1970	17
1971	18
1972	10
1973	16
1974	5
1975	17
1976	12
1977	15
1978	18
1979	19
1980	18
1981	20
1982	9
1983	17
1984	19
1985	25
1986	29
1987	39
1988	32
1989	30
1990	29
1991	66
1992	36
1993	42
1994	51
1995	81
1996	60
1997	80
1998	51
1999	73
2000	84
2001	113
2002	68
2003	67
2004	111
2005	95
2006	101
2007	78
2008	75
2009	87
2010	84
2011	84
2012	103
2013	125
2014	188
