1930	0
1931	0
1932	2
1933	0
1934	1
1935	1
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	1
1944	0
1945	0
1946	2
1947	2
1948	0
1949	0
1950	9
1951	5
1952	5
1953	8
1954	2
1955	5
1956	4
1957	4
1958	5
1959	4
1960	3
1961	3
1962	2
1963	4
1964	6
1965	6
1966	2
1967	0
1968	1
1969	2
1970	2
1971	1
1972	3
1973	3
1974	7
1975	2
1976	3
1977	3
1978	5
1979	2
1980	6
1981	2
1982	4
1983	5
1984	3
1985	3
1986	0
1987	5
1988	1
1989	4
1990	6
1991	4
1992	5
1993	3
1994	1
1995	5
1996	2
1997	1
1998	3
1999	3
2000	5
2001	1
2002	5
2003	4
2004	3
2005	9
2006	7
2007	5
2008	8
2009	9
2010	5
2011	6
2012	9
2013	6
2014	6
