1930	37
1931	48
1932	60
1933	69
1934	56
1935	61
1936	59
1937	82
1938	89
1939	107
1940	62
1941	73
1942	60
1943	55
1944	44
1945	133
1946	354
1947	330
1948	337
1949	379
1950	794
1951	934
1952	867
1953	810
1954	800
1955	785
1956	657
1957	633
1958	716
1959	660
1960	642
1961	632
1962	624
1963	643
1964	701
1965	672
1966	726
1967	730
1968	725
1969	840
1970	730
1971	741
1972	813
1973	788
1974	871
1975	816
1976	807
1977	877
1978	792
1979	886
1980	891
1981	888
1982	932
1983	958
1984	1019
1985	1004
1986	998
1987	983
1988	1007
1989	973
1990	975
1991	943
1992	976
1993	1004
1994	1002
1995	1026
1996	1093
1997	1084
1998	1156
1999	1301
2000	1265
2001	1296
2002	1425
2003	1511
2004	1667
2005	1720
2006	1724
2007	1918
2008	2027
2009	2182
2010	2634
2011	3075
2012	3436
2013	3774
2014	3867
