#Lengths, All, US, China, Brzil, Europe
0 734 273 0 8 78
50 1394 328 6 32 241
100 1819 414 35 64 268
150 2494 464 125 64 473
200 2732 480 259 146 563
250 2771 465 249 117 575
300 2959 501 366 116 636
350 2440 453 365 60 556
400 2831 510 445 63 553
450 2396 417 398 64 550
500 2627 443 436 76 662
550 2243 460 366 44 544
600 2183 429 465 12 452
650 2146 400 436 35 498
700 2156 300 462 27 423
750 1913 286 375 18 420
800 1705 317 320 34 385
850 1762 318 336 0 341
900 1638 294 236 26 389
950 1505 301 202 14 309
1000 1661 287 236 19 273
1050 1389 228 187 18 286
1100 1161 170 94 9 276
1150 1109 200 116 22 270
1200 1065 131 95 14 189
1250 814 82 38 12 181
1300 800 68 68 10 157
1350 798 83 44 20 206
1400 650 84 36 14 154
1450 651 89 10 8 129
1500 780 107 46 8 133
1550 567 91 20 2 42
1600 645 56 16 2 89
1650 467 59 10 6 37
1700 607 119 15 0 74
1750 470 36 4 4 53
1800 579 62 2 0 65
1850 501 37 2 0 78
1900 368 54 0 0 60
1950 362 55 0 0 56
2000 419 13 23 0 73
2050 335 30 6 0 65
2100 322 68 0 0 28
2150 294 41 0 0 30
2200 260 48 0 0 28
2250 212 42 0 0 12
2300 228 58 0 0 0
2350 184 57 0 0 6
2400 245 73 0 0 3
2450 142 55 0 0 2
2500 117 43 0 0 0
2550 183 66 0 0 6
2600 130 37 0 0 0
2650 121 20 0 0 2
2700 94 10 0 0 0
2750 94 6 0 0 0
2800 81 8 0 0 4
2850 118 4 0 0 0
2900 82 6 0 0 2
2950 82 6 0 0 0
3000 93 0 0 0 0
3050 81 0 0 0 0
3100 40 0 0 0 0
3150 97 0 0 0 0
3200 72 0 0 0 0
3250 133 2 0 0 0
3300 82 2 0 0 0
3350 71 2 0 0 0
3400 133 2 0 0 0
3450 76 0 0 0 0
3500 70 2 0 0 0
3550 54 2 0 0 0
3600 149 0 0 0 0
3650 140 0 0 0 0
3700 92 4 0 0 0
3750 68 4 0 0 0
3800 148 0 0 0 0
3850 101 2 0 0 0
3900 127 0 0 0 0
3950 98 0 0 0 0
4000 63 0 0 0 0
4050 98 0 0 0 0
4100 130 0 0 0 0
4150 119 2 0 0 0
4200 96 2 0 0 0
4250 97 0 0 0 0
4300 76 0 0 0 0
4350 84 0 0 0 0
4400 97 0 0 0 0
4450 66 3 0 0 0
4500 31 0 0 0 0
4550 70 0 0 0 0
4600 67 0 0 0 0
4650 109 0 0 0 0
4700 92 0 0 0 0
4750 60 0 0 0 0
4800 98 2 0 0 0
4850 62 0 0 0 0
4900 100 0 0 0 0
4950 93 4 0 0 0
5000 78 0 0 0 0
5050 96 0 0 0 0
5100 69 0 0 0 0
5150 50 0 0 0 0
5200 88 0 0 0 0
5250 32 0 0 0 0
5300 26 0 0 0 0
5350 80 0 0 0 0
5400 85 0 0 0 0
5450 52 0 0 0 0
5500 76 0 0 0 0
5550 36 0 0 0 0
5600 72 0 0 0 0
5650 63 0 0 0 0
5700 56 0 0 0 0
5750 62 0 0 0 0
5800 44 0 0 0 0
5850 41 0 0 0 0
5900 32 0 0 0 0
5950 76 0 0 0 0
6000 31 0 0 0 0
6050 29 0 0 0 0
6100 16 0 0 0 0
6150 16 0 0 0 0
6200 26 0 0 0 0
6250 32 0 0 0 0
6300 12 0 0 0 0
6350 28 0 0 0 0
6400 20 0 0 0 0
6450 35 0 0 0 0
6500 33 0 0 0 0
6550 32 0 0 0 0
6600 16 0 0 0 0
6650 22 0 0 0 0
6700 20 0 0 0 0
6750 22 0 0 0 0
6800 32 0 0 0 0
6850 26 0 0 0 0
6900 36 0 0 0 0
6950 5 0 0 0 0
7000 16 0 0 0 0
7050 19 0 0 0 0
7100 19 0 0 0 0
7150 13 0 0 0 0
7200 18 0 0 0 0
7250 14 0 0 0 0
7300 6 0 0 0 0
7350 12 0 0 0 0
7400 14 0 0 0 0
7450 24 0 0 0 0
7500 4 0 0 0 0
7550 6 0 0 0 0
7600 0 0 0 0 0
7650 0 0 0 0 0
7700 0 0 0 0 0
7750 18 0 0 0 0
7800 0 0 0 0 0
7850 0 0 0 0 0
7900 8 0 0 0 0
7950 8 0 0 0 0
8000 10 0 0 0 0
8050 14 0 0 0 0
8100 0 0 0 0 0
8150 4 0 0 0 0
8200 0 0 0 0 0
8250 0 0 0 0 0
8300 8 0 0 0 0
8350 0 0 0 0 0
8400 2 0 0 0 0
8450 0 0 0 0 0
8500 0 0 0 0 0
8550 2 0 0 0 0
8600 0 0 0 0 0
8650 0 0 0 0 0
8700 0 0 0 0 0
8750 0 0 0 0 0
8800 0 0 0 0 0
8850 0 0 0 0 0
8900 0 0 0 0 0
