Clusters= 2  avg silhouette score: 0.396635780934
Clusters= 3  avg silhouette score: 0.355529733123
Clusters= 4  avg silhouette score: 0.340738470429
Clusters= 5  avg silhouette score: 0.251566150403
Clusters= 6  avg silhouette score: 0.255706223367
Clusters= 7  avg silhouette score: 0.269553925926
Clusters= 8  avg silhouette score: 0.27108533778
Clusters= 9  avg silhouette score: 0.274707830828
Clusters= 10  avg silhouette score: 0.275800641191
Clusters= 11  avg silhouette score: 0.280044060913
Clusters= 12  avg silhouette score: 0.282488425429
Clusters= 13  avg silhouette score: 0.281900309212
Clusters= 14  avg silhouette score: 0.275429876386
Clusters= 15  avg silhouette score: 0.27645264505
Clusters= 16  avg silhouette score: 0.281893401902
Clusters= 17  avg silhouette score: 0.292800039278
Clusters= 18  avg silhouette score: 0.293686471928
Clusters= 19  avg silhouette score: 0.271908158141
Clusters= 20  avg silhouette score: 0.285039049676
Clusters= 21  avg silhouette score: 0.19083056392
Clusters= 22  avg silhouette score: 0.241340872168
Clusters= 23  avg silhouette score: 0.233582752084
Clusters= 24  avg silhouette score: 0.262814620198
Clusters= 25  avg silhouette score: 0.219453803136
