Clusters= 2  avg silhouette score: 0.442031286185
Clusters= 3  avg silhouette score: 0.423396840233
Clusters= 4  avg silhouette score: 0.438580072861
Clusters= 5  avg silhouette score: 0.453046771667
Clusters= 6  avg silhouette score: 0.418732776229
Clusters= 7  avg silhouette score: 0.41738240733
Clusters= 8  avg silhouette score: 0.36969182668
Clusters= 9  avg silhouette score: 0.341929044995
Clusters= 10  avg silhouette score: 0.305424369762
Clusters= 11  avg silhouette score: 0.305682565151
Clusters= 12  avg silhouette score: 0.304205345332
Clusters= 13  avg silhouette score: 0.305935759947
Clusters= 14  avg silhouette score: 0.298146892605
Clusters= 15  avg silhouette score: 0.29694190708
Clusters= 16  avg silhouette score: 0.306195619558
Clusters= 17  avg silhouette score: 0.269846142706
Clusters= 18  avg silhouette score: 0.292478461636
Clusters= 19  avg silhouette score: 0.278960770373
Clusters= 20  avg silhouette score: 0.292970777507
Clusters= 21  avg silhouette score: 0.28226317857
Clusters= 22  avg silhouette score: 0.286705394521
Clusters= 23  avg silhouette score: 0.290757338895
Clusters= 24  avg silhouette score: 0.284013355628
Clusters= 25  avg silhouette score: 0.282775069878

