"FG3M" "FG3_PCT" "DEF_RATING" PLAYER_NAME
0.6 0.263 106.6 A.J._Price
1.5 0.387 101.7 Aaron_Brooks
0.3 0.271 104.5 Aaron_Gordon
0.0 0.111 116.1 Adreian_Payne
0.1 0.306 101.0 Al_Horford
0.0 0.4 101.9 Al_Jefferson
0.5 0.274 101.4 Al-Farouq_Aminu
1.0 0.348 101.3 Alan_Anderson
1.0 0.382 111.1 Alec_Burks
0.0 0.0 141.1 Alex_Kirk
0.0 0.333 101.5 Alex_Len
1.1 0.338 105.1 Alexey_Shved
0.0 0.0 104.0 Alexis_Ajinca
0.6 0.353 101.9 Allen_Crabbe
0.2 0.371 106.4 Alonzo_Gee
0.0 0.0 108.4 Amar'e_Stoudemire
0.3 0.413 104.4 Amir_Johnson
0.0 0.0 105.3 Anderson_Varejao
0.3 0.167 105.4 Andre_Dawkins
0.0 0.0 105.5 Andre_Drummond
1.0 0.349 96.8 Andre_Iguodala
0.1 0.206 106.9 Andre_Miller
0.3 0.247 100.1 Andre_Roberson
0.5 0.366 111.5 Andrea_Bargnani
0.0 0.0 128.3 Andrei_Kirilenko
0.0 0.0 95.2 Andrew_Bogut
0.3 0.317 104.2 Andrew_Nicholson
0.5 0.31 110.3 Andrew_Wiggins
0.1 0.304 113.2 Anthony_Bennett
0.0 0.083 103.3 Anthony_Davis
1.9 0.434 102.1 Anthony_Morrow
1.4 0.366 103.1 Anthony_Tolliver
0.3 0.293 107.1 Archie_Goodwin
0.0 0.0 120.9 Arinze_Onuaku
0.0 0.25 97.7 Aron_Baynes
1.5 0.354 105.6 Arron_Afflalo
0.7 0.338 102.3 Austin_Daye
0.5 0.298 104.6 Austin_Rivers
1.6 0.352 102.5 Avery_Bradley
0.6 0.361 106.2 Ben_Gordon
1.7 0.358 104.5 Ben_McLemore
0.3 0.268 101.0 Beno_Udrih
0.0 0.0 101.1 Bernard_James
0.0 0.0 98.7 Bismack_Biyombo
0.1 0.4 103.5 Blake_Griffin
1.2 0.355 107.9 Bojan_Bogdanovic
0.7 0.32 98.8 Boris_Diaw
1.7 0.409 98.9 Bradley_Beal
0.0 0.0 103.6 Brandan_Wright
