WPCT, FG3A, FGA, FG2PCT, FG3PCT, FTM, OREB, DREB, AST, TOV, STL, BLK, BLKA, PF, PTS, year, team
0.305, 11.4, 81.3, 0.443490701001, 0.357, 16.8, 12.5, 30.4, 19.0, 16.7, 7.7, 4.7, 6.3, 22.7, 91.0, 00, "Atlanta Hawks"
0.439, 19.9, 79.1, 0.449324324324, 0.363, 19.8, 10.9, 28.9, 20.8, 15.7, 9.4, 4.1, 5.4, 23.8, 94.6, 00, "Boston Celtics"
0.561, 12.0, 79.3, 0.445765230312, 0.346, 19.5, 12.6, 31.8, 23.2, 14.4, 8.1, 5.5, 4.6, 21.4, 91.9, 00, "Charlotte Hornets"
0.183, 11.6, 78.2, 0.438438438438, 0.346, 17.2, 11.3, 27.6, 22.1, 15.8, 8.2, 4.6, 5.2, 23.2, 87.6, 00, "Chicago Bulls"
0.366, 8.0, 79.7, 0.453277545328, 0.334, 19.0, 12.4, 29.8, 20.8, 16.5, 7.8, 5.3, 6.6, 23.2, 92.2, 00, "Cleveland Cavaliers"
0.646, 16.5, 81.9, 0.478593272171, 0.381, 18.9, 10.1, 31.4, 21.2, 13.9, 7.5, 6.0, 4.6, 23.3, 100.5, 00, "Dallas Mavericks"
0.488, 17.6, 83.9, 0.453996983409, 0.355, 17.6, 12.7, 31.5, 24.0, 13.9, 6.7, 6.6, 6.1, 22.2, 96.5, 00, "Denver Nuggets"
0.39, 13.6, 83.9, 0.439544807966, 0.35, 19.6, 13.5, 32.0, 19.9, 15.9, 7.5, 5.5, 4.8, 23.8, 95.6, 00, "Detroit Pistons"
0.207, 11.8, 87.5, 0.428005284016, 0.293, 17.4, 16.4, 29.1, 21.8, 15.9, 9.0, 5.0, 6.0, 21.1, 92.5, 00, "Golden State Warriors"
0.549, 17.2, 79.2, 0.48064516129, 0.357, 19.3, 11.2, 30.8, 19.7, 14.7, 7.2, 4.4, 4.9, 20.2, 97.2, 00, "Houston Rockets"
0.5, 14.1, 78.4, 0.461897356143, 0.342, 18.8, 11.2, 31.6, 21.5, 15.2, 6.9, 5.9, 4.7, 23.5, 92.6, 00, "Indiana Pacers"
0.378, 13.0, 78.9, 0.468892261002, 0.339, 17.4, 11.7, 31.2, 19.3, 15.8, 6.0, 6.3, 5.0, 21.6, 92.5, 00, "Los Angeles Clippers"
0.683, 15.5, 81.5, 0.492424242424, 0.344, 19.4, 13.2, 31.5, 23.0, 14.4, 6.9, 6.0, 4.0, 22.8, 100.6, 00, "Los Angeles Lakers"
0.61, 16.9, 76.3, 0.456228956229, 0.345, 17.4, 9.9, 29.7, 19.9, 13.7, 7.7, 3.7, 5.2, 21.0, 88.9, 00, "Miami Heat"
0.634, 18.1, 82.9, 0.479938271605, 0.379, 18.0, 11.9, 30.5, 22.5, 13.7, 8.2, 4.7, 4.3, 23.5, 100.7, 00, "Milwaukee Bucks"
0.573, 11.0, 83.8, 0.473901098901, 0.357, 16.6, 12.2, 30.1, 25.4, 13.9, 8.3, 5.6, 4.4, 23.2, 97.3, 00, "Minnesota Timberwolves"
0.317, 13.2, 79.9, 0.44227886057, 0.333, 19.9, 11.1, 28.5, 19.5, 14.7, 7.9, 5.0, 6.4, 24.2, 92.1, 00, "New Jersey Nets"
0.585, 13.6, 75.6, 0.464516129032, 0.351, 16.8, 9.4, 30.8, 18.5, 14.5, 6.6, 4.2, 4.1, 22.7, 88.7, 00, "New York Knicks"
0.524, 16.4, 83.8, 0.455489614243, 0.364, 18.0, 13.0, 29.9, 22.0, 15.2, 8.2, 5.9, 5.4, 25.3, 97.5, 00, "Orlando Magic"
0.683, 9.8, 79.1, 0.464646464646, 0.326, 20.7, 13.1, 31.7, 20.6, 15.8, 8.4, 5.0, 5.6, 20.4, 94.7, 00, "Philadelphia 76ers"
0.622, 12.9, 82.4, 0.458992805755, 0.315, 18.2, 11.8, 30.8, 23.2, 15.3, 9.5, 5.2, 5.1, 22.7, 94.0, 00, "Phoenix Suns"
0.61, 12.9, 78.3, 0.490825688073, 0.349, 17.6, 11.7, 30.3, 23.9, 15.3, 8.2, 5.1, 4.0, 21.3, 95.4, 00, "Portland Trail Blazers"
0.671, 16.5, 85.0, 0.47299270073, 0.354, 19.5, 12.0, 33.0, 22.6, 14.9, 9.7, 5.3, 5.8, 19.5, 101.7, 00, "Sacramento Kings"
0.707, 13.3, 76.4, 0.472266244057, 0.407, 20.4, 11.0, 33.1, 21.7, 14.0, 6.9, 7.0, 5.2, 18.9, 96.2, 00, "San Antonio Spurs"
0.537, 14.3, 81.1, 0.467065868263, 0.399, 17.7, 12.2, 29.5, 21.9, 15.3, 8.0, 5.0, 6.2, 21.1, 97.3, 00, "Seattle SuperSonics"
0.573, 14.2, 85.0, 0.45197740113, 0.369, 18.1, 13.6, 30.8, 24.4, 13.2, 7.3, 6.3, 5.4, 21.3, 97.6, 00, "Toronto Raptors"
0.646, 10.4, 76.7, 0.484162895928, 0.381, 20.9, 11.5, 29.1, 25.7, 15.8, 8.1, 5.6, 5.5, 25.7, 97.1, 00, "Utah Jazz"
0.28, 11.5, 79.7, 0.454545454545, 0.343, 17.8, 10.9, 29.6, 23.2, 15.7, 7.1, 4.4, 5.8, 21.1, 91.7, 00, "Vancouver Grizzlies"
0.232, 10.3, 78.7, 0.454678362573, 0.324, 20.8, 12.4, 28.9, 20.1, 17.0, 7.7, 4.7, 6.2, 23.3, 93.2, 00, "Washington Wizards"
0.402, 14.6, 80.6, 0.457575757576, 0.354, 18.1, 11.6, 29.8, 20.2, 15.5, 8.1, 4.3, 6.2, 20.8, 94.0, 01, "Atlanta Hawks"
0.598, 23.7, 82.1, 0.450342465753, 0.359, 18.3, 10.9, 31.3, 21.0, 13.6, 9.7, 3.6, 5.8, 21.7, 96.4, 01, "Boston Celtics"
0.537, 12.1, 80.2, 0.456681350954, 0.348, 19.1, 12.9, 30.5, 21.5, 14.0, 8.0, 5.6, 5.1, 21.3, 93.9, 01, "Charlotte Hornets"
0.256, 10.6, 79.2, 0.446064139942, 0.346, 17.2, 11.3, 28.8, 22.2, 15.3, 7.7, 4.4, 4.9, 22.4, 89.5, 01, "Chicago Bulls"
0.354, 12.5, 80.3, 0.461651917404, 0.377, 18.6, 11.8, 30.3, 23.1, 14.6, 7.0, 5.7, 5.6, 21.4, 95.3, 01, "Cleveland Cavaliers"
0.695, 20.1, 84.5, 0.487577639752, 0.378, 19.6, 11.2, 31.3, 22.1, 12.1, 7.1, 4.8, 4.6, 22.5, 105.2, 01, "Dallas Mavericks"
0.329, 15.7, 83.8, 0.444933920705, 0.329, 15.9, 13.6, 28.2, 22.2, 14.7, 7.5, 5.6, 6.8, 22.8, 92.2, 01, "Denver Nuggets"
0.61, 18.4, 76.8, 0.47602739726, 0.376, 18.0, 9.9, 28.9, 21.5, 14.5, 7.9, 6.9, 4.1, 20.7, 94.3, 01, "Detroit Pistons"
0.256, 12.1, 85.2, 0.447332421341, 0.322, 20.6, 16.3, 30.4, 20.8, 16.8, 7.9, 6.4, 6.3, 23.0, 97.7, 01, "Golden State Warriors"
0.341, 18.0, 80.8, 0.455414012739, 0.335, 17.1, 12.5, 29.4, 18.1, 14.1, 6.5, 5.4, 5.1, 18.0, 92.3, 01, "Houston Rockets"
0.512, 14.6, 80.2, 0.471036585366, 0.339, 20.3, 11.3, 31.3, 23.0, 15.2, 8.0, 5.3, 5.7, 22.9, 96.8, 01, "Indiana Pacers"
0.476, 14.0, 81.3, 0.463595839525, 0.356, 18.3, 13.2, 30.2, 20.9, 14.8, 6.2, 6.6, 5.4, 19.8, 95.7, 01, "Los Angeles Clippers"
0.707, 17.5, 83.4, 0.488619119879, 0.354, 18.2, 12.5, 31.8, 23.0, 12.7, 7.6, 5.8, 4.3, 22.2, 101.3, 01, "Los Angeles Lakers"
0.28, 13.4, 79.7, 0.463046757164, 0.307, 16.3, 12.0, 29.4, 21.8, 16.4, 7.9, 6.0, 5.6, 19.2, 89.9, 01, "Memphis Grizzlies"
0.439, 11.0, 77.8, 0.455089820359, 0.347, 15.1, 11.0, 31.0, 20.3, 14.8, 6.7, 5.5, 4.3, 22.5, 87.2, 01, "Miami Heat"
0.5, 19.3, 80.2, 0.490968801314, 0.375, 16.1, 10.3, 31.2, 22.5, 14.1, 7.3, 4.7, 4.4, 21.8, 97.5, 01, "Milwaukee Bucks"
0.61, 12.8, 84.0, 0.476123595506, 0.378, 17.1, 12.9, 31.2, 24.3, 13.4, 6.4, 5.2, 5.0, 21.2, 99.3, 01, "Minnesota Timberwolves"
0.634, 14.6, 83.1, 0.470072992701, 0.338, 17.1, 12.7, 30.7, 24.3, 14.5, 8.7, 6.0, 5.4, 21.1, 96.2, 01, "New Jersey Nets"
0.366, 16.4, 79.5, 0.45324881141, 0.353, 17.1, 10.7, 30.0, 21.0, 14.5, 6.8, 3.5, 4.7, 22.0, 91.6, 01, "New York Knicks"
0.537, 20.2, 84.0, 0.470219435737, 0.373, 17.6, 11.5, 29.7, 22.0, 13.6, 8.1, 4.7, 4.7, 20.7, 100.5, 01, "Orlando Magic"
0.524, 8.7, 78.5, 0.452722063037, 0.299, 20.0, 13.3, 30.9, 20.0, 15.3, 8.6, 4.4, 5.6, 20.0, 91.0, 01, "Philadelphia 76ers"
0.439, 13.4, 84.6, 0.469101123596, 0.327, 15.2, 13.1, 29.6, 22.4, 14.7, 8.1, 4.9, 5.8, 21.8, 95.1, 01, "Phoenix Suns"
0.598, 16.1, 81.4, 0.473200612557, 0.354, 17.7, 13.2, 29.8, 23.5, 14.3, 8.6, 4.5, 5.0, 19.7, 96.6, 01, "Portland Trail Blazers"
0.744, 14.1, 85.4, 0.485273492286, 0.367, 19.7, 12.4, 33.0, 23.9, 13.8, 9.0, 4.6, 4.7, 19.0, 104.6, 01, "Sacramento Kings"
0.707, 14.8, 77.6, 0.480891719745, 0.362, 20.3, 11.1, 31.3, 20.0, 14.4, 7.6, 6.5, 5.2, 19.2, 96.7, 01, "San Antonio Spurs"
0.549, 15.8, 81.5, 0.490106544901, 0.378, 15.4, 11.8, 28.5, 23.5, 13.7, 8.5, 4.4, 4.9, 21.1, 97.7, 01, "Seattle SuperSonics"
0.512, 13.5, 82.0, 0.451094890511, 0.349, 15.5, 13.6, 28.5, 21.7, 14.3, 8.4, 5.6, 4.8, 21.6, 91.4, 01, "Toronto Raptors"
