44.0% 22.2%
55.4% 47.8%
44.4% 31.6%
58.1% 60.0%
44.8% 32.1%
47.8% 45.8%
54.3% 35.0%
45.6% 32.4%
51.7% 42.3%
53.5% 50.0%
50.0% 26.1%
35.5% 28.0%
57.3% 46.4%
51.8% 46.2%
42.4% 26.9%
46.8% 42.9%
46.3% 29.6%
47.0% 45.5%
44.9% 40.0%
46.2% 22.7%
49.4% 34.8%
44.6% 31.3%
51.2% 45.8%
41.1% 29.0%
51.1% 38.7%
53.8% 36.0%
46.4% 46.2%
42.5% 21.4%
46.6% 39.3%
56.1% 42.9%
53.3% 42.9%
46.6% 53.6%
49.5% 42.9%
50.0% 33.3%
50.5% 52.0%
46.9% 44.8%
45.7% 37.5%
54.9% 40.9%
54.3% 48.1%
50.0% 44.8%
47.9% 42.5%
47.2% 34.8%
42.5% 27.3%
43.0% 29.6%
46.0% 37.5%
50.5% 43.5%
52.3% 50.0%
45.6% 36.4%
45.7% 48.0%
40.0% 24.1%
44.4% 25.9%
48.8% 51.5%
38.2% 34.6%
50.0% 52.2%
42.4% 37.9%
48.3% 46.4%
42.1% 35.3%
46.7% 36.7%
50.7% 41.2%
46.9% 47.8%
50.0% 45.5%
42.2% 41.9%
52.4% 35.0%
42.4% 42.1%
50.0% 55.9%
47.6% 25.9%
52.4% 46.7%
50.0% 26.3%
48.7% 44.4%
41.1% 39.4%
60.2% 46.2%
43.3% 51.6%
51.2% 48.0%
44.7% 38.1%
46.2% 38.5%
45.3% 38.9%
42.9% 32.1%
44.2% 40.9%
53.3% 46.2%
45.2% 35.5%
52.7% 54.2%
52.2% 46.4%
