51	39.8%	48	39.6%
47	47.0%	56	41.6%
34	53.8%	44	41.8%
33	42.0%	47	45.7%
49	35.7%	50	39.0%
37	48.3%	35	57.0%
52	35.5%	48	44.2%
38	48.2%	53	33.0%
37	45.8%	43	45.8%
43	41.0%	45	45.9%
42	37.2%	43	46.2%
40	48.8%	63	34.3%
45	42.2%	46	42.0%
45	48.8%	41	38.5%
34	47.7%	41	46.8%
40	38.1%	44	49.3%
47	47.0%	37	47.6%
37	39.1%	55	41.3%
39	48.8%	38	55.3%
45	50.0%	44	40.7%
44	46.2%	38	48.6%
46	47.7%	48	38.6%
40	52.0%	39	40.5%
48	42.7%	40	44.6%
50	37.0%	56	39.8%
38	45.2%	42	45.6%
49	39.6%	46	48.8%
44	45.7%	47	43.9%
42	51.7%	56	40.4%
36	48.2%	47	41.4%
39	47.3%	49	50.6%
37	48.0%	36	41.0%
47	37.1%	45	44.8%
43	45.7%	40	45.1%
42	38.3%	48	41.3%
40	59.0%	48	37.5%
46	52.1%	39	45.7%
37	41.7%	38	50.0%
47	45.1%	30	48.7%
30	58.1%	39	46.3%
41	47.2%	44	34.4%
34	51.9%	53	36.7%
40	51.9%	44	36.3%
38	50.5%	52	43.0%
40	47.3%	42	51.3%
42	45.9%	38	45.5%
43	51.4%	42	41.1%
35	49.3%	40	46.8%
50	43.8%	49	36.1%
48	52.6%	44	39.3%
30	56.3%	30	54.1%
39	47.6%	31	51.4%
46	37.2%	47	42.5%
43	45.3%	54	43.3%
46	51.3%	51	29.9%
41	45.6%	45	43.8%
44	50.6%	30	48.1%
48	39.3%	38	48.1%
32	56.0%	36	47.3%
40	54.5%	39	50.6%
46	40.5%	42	49.4%
38	43.8%	45	45.0%
41	42.7%	42	54.8%
44	35.0%	40	46.5%
53	50.0%	35	41.9%
46	46.5%	44	51.2%
37	50.6%	41	50.0%
47	51.4%	32	48.8%
49	47.4%	43	40.2%
45	39.5%	42	48.8%
58	41.5%	56	33.3%
51	38.8%	29	50.0%
36	40.0%	60	39.5%
46	42.5%	44	42.0%
40	52.3%	47	44.2%
43	45.1%	48	47.0%
54	40.0%	44	33.3%
40	55.7%	39	49.4%
37	39.8%	51	44.4%
50	41.1%	37	49.4%
50	36.6%	47	39.8%
44	51.9%	48	37.4%
53	42.9%	36	46.2%
32	49.4%	52	41.6%
44	46.5%	42	45.2%
33	50.0%	36	46.8%
55	38.9%	46	43.0%
57	37.1%	50	37.8%
