#2014-15 REGULAR SEASON PLAYER GENERAL RANGE (CATCH AND SHOOT)
#Player	Team	Age	GP	G	Freq	FGM	FGA	FG%	eFG%	2FG Freq	2FGM	2FGA	2FG%	3FG Freq	3PM	3PA	3P%
Bosh, Chris	MIA	31	44	44	40.2%	3.2	6.8	46.5	56.7	19.6%	1.8	3.3	53.4	20.6%	1.4	3.5	39.9
Bargnani, Andrea	NYK	29	29	27	52.2%	3.0	6.5	46.3	50.0	41.4%	2.5	5.1	49.0	10.8%	0.5	1.3	35.9
Vucevic, Nikola	ORL	24	74	74	33.0%	2.5	5.3	47.5	47.6	32.8%	2.5	5.3	47.6	0.3%	0.0	0.0	33.3
Horford, Al	ATL	28	76	74	41.0%	2.4	5.2	46.1	47.2	38.0%	2.3	4.8	47.3	3.0%	0.1	0.4	31.0
Davis, Anthony	NOP	22	68	68	27.5%	2.2	4.8	46.0	46.2	26.7%	2.2	4.7	47.0	0.8%	0.0	0.1	11.1
Gasol, Pau	CHI	34	78	78	31.3%	2.3	4.6	49.0	50.7	29.1%	2.1	4.3	49.1	2.2%	0.1	0.3	48.0
Hill, Jordan	LAL	27	70	68	39.3%	1.7	4.3	38.8	39.0	38.4%	1.7	4.2	39.4	0.9%	0.0	0.1	14.3
Smith, Jason	NYK	29	81	78	57.7%	1.9	4.2	44.8	47.1	50.9%	1.7	3.7	45.8	6.8%	0.2	0.5	37.5
Gasol, Marc	MEM	30	81	80	30.9%	1.7	4.1	41.2	41.4	29.9%	1.7	4.0	42.2	0.9%	0.0	0.1	10.0
Lopez, Brook	BKN	27	72	69	27.8%	1.7	3.8	45.3	45.4	27.0%	1.7	3.7	46.2	0.8%	0.0	0.1	12.5
Jefferson, Al	CHA	30	65	64	23.6%	1.6	3.7	42.4	42.6	23.2%	1.5	3.6	42.7	0.4%	0.0	0.1	25.0
Speights, Marreese	GSW	27	76	69	41.4%	1.6	3.5	44.7	45.5	39.1%	1.5	3.3	45.8	2.4%	0.1	0.2	26.7
Kanter, Enes	OKC	22	75	73	27.1%	1.2	3.3	36.1	39.2	22.4%	1.0	2.8	36.4	4.7%	0.2	0.6	34.9
Olynyk, Kelly	BOS	24	64	60	39.5%	1.2	3.2	38.2	52.2	10.4%	0.3	0.8	38.9	29.0%	0.9	2.3	38.0
Sims, Henry	PHI	25	73	67	43.3%	1.2	3.0	40.9	41.9	38.9%	1.1	2.6	43.5	4.4%	0.1	0.3	18.2
Antic, Pero	ATL	32	63	61	63.1%	1.0	3.0	33.3	47.0	9.2%	0.2	0.4	40.7	53.9%	0.8	2.5	32.1
Garnett, Kevin	MIN	38	47	46	43.6%	1.4	2.8	48.1	48.5	41.6%	1.3	2.7	49.6	2.0%	0.0	0.1	16.7
Hawes, Spencer	LAC	26	73	64	48.9%	0.9	2.8	32.7	45.5	8.5%	0.2	0.5	40.0	40.4%	0.7	2.3	31.1
Pachulia, Zaza	MIL	31	72	65	38.7%	1.2	2.8	42.9	42.9	38.5%	1.2	2.7	43.1	0.2%	0.0	0.0	0.0
Nene	WAS	32	67	63	30.6%	1.2	2.7	45.1	45.3	30.0%	1.2	2.7	45.5	0.7%	0.0	0.1	25.0
Bass, Brandon	BOS	29	82	75	32.5%	1.2	2.7	43.4	45.5	28.2%	1.1	2.3	45.3	4.3%	0.1	0.3	31.0
Cousins, DeMarcus	SAC	24	59	54	14.5%	1.1	2.6	43.1	43.8	14.1%	1.1	2.5	43.2	0.5%	0.0	0.1	40.0
Leonard, Meyers	POR	23	55	45	54.3%	1.1	2.4	45.1	60.9	13.1%	0.3	0.6	56.3	41.2%	0.8	1.8	41.6
Diaw, Boris	SAS	33	81	69	30.0%	0.8	2.3	32.3	45.5	5.5%	0.1	0.4	31.4	24.4%	0.6	1.9	32.5
Payne, Adreian	MIN	24	32	27	33.2%	0.9	2.3	39.7	40.4	29.5%	0.9	2.0	43.1	3.6%	0.0	0.3	12.5
Hibbert, Roy	IND	28	76	68	23.3%	1.0	2.2	44.2	44.2	23.0%	1.0	2.1	44.8	0.3%	0.0	0.0	0.0
Motiejunas, Donatas	HOU	24	70	62	22.1%	0.9	2.2	39.5	54.9	4.1%	0.2	0.4	46.4	18.0%	0.7	1.8	37.9
