#Player 	Team 	Age 	GP 	G 	Freq 	FGM 	FGA 	FG% 	eFG% 	2FG Freq 	2FGM 	2FGA 	2FG% 	3FG Freq 	3PM 	3PA 	3P%
Nowitzki, Dirk 	DAL 	36 	77 	77 	55.9% 	3.4 	7.7 	43.6 	51.8 	31.9% 	2.1 	4.4 	47.8 	24.0% 	1.3 	3.3 	38.0
Ibaka, Serge 	OKC 	25 	64 	64 	56.3% 	2.9 	6.9 	41.7 	50.0 	31.7% 	1.7 	3.9 	44.5 	24.6% 	1.1 	3.0 	38.0
Bargnani, Andrea 	NYK 	29 	29 	27 	52.2% 	3.0 	6.5 	46.3 	50.0 	41.4% 	2.5 	5.1 	49.0 	10.8% 	0.5 	1.3 	35.9
Aldridge, LaMarcus 	POR 	29 	71 	71 	29.9% 	2.5 	5.9 	42.6 	46.2 	23.5% 	2.1 	4.7 	45.0 	6.3% 	0.4 	1.3 	33.7
Love, Kevin 	CLE 	26 	74 	72 	46.5% 	2.3 	5.9 	38.3 	53.8 	7.8% 	0.4 	1.0 	43.8 	38.7% 	1.8 	4.9 	37.2
Ariza, Trevor 	HOU 	29 	81 	80 	52.6% 	2.1 	5.8 	35.9 	53.4 	1.3% 	0.1 	0.1 	33.3 	51.2% 	2.0 	5.7 	35.9
Anthony, Carmelo 	NYK 	30 	39 	39 	28.2% 	2.5 	5.7 	44.4 	54.0 	12.6% 	1.4 	2.6 	56.0 	15.5% 	1.1 	3.1 	35.0
Covington, Robert 	PHI 	24 	70 	68 	51.5% 	2.1 	5.5 	39.3 	58.1 	2.3% 	0.1 	0.2 	35.3 	49.2% 	2.1 	5.2 	39.5
Anderson, Ryan 	NOP 	26 	61 	61 	44.2% 	1.9 	5.3 	36.8 	53.9 	2.2% 	0.1 	0.3 	50.0 	42.0% 	1.8 	5.0 	36.1
Horford, Al 	ATL 	28 	76 	74 	41.0% 	2.4 	5.2 	46.1 	47.2 	38.0% 	2.3 	4.8 	47.3 	3.0% 	0.1 	0.4 	31.0
Frye, Channing 	ORL 	31 	75 	74 	78.6% 	2.0 	5.1 	40.3 	57.5 	11.1% 	0.3 	0.7 	42.6 	67.5% 	1.8 	4.4 	39.9
Durant, Kevin 	OKC 	26 	27 	26 	29.1% 	2.0 	5.0 	39.7 	52.6 	9.4% 	0.7 	1.6 	43.2 	19.7% 	1.3 	3.4 	38.0
Griffin, Blake 	LAC 	26 	67 	66 	29.2% 	2.1 	5.0 	42.3 	43.2 	28.0% 	2.0 	4.8 	42.3 	1.2% 	0.1 	0.2 	42.9
West, David 	IND 	34 	66 	66 	47.7% 	2.4 	5.0 	48.3 	48.8 	45.0% 	2.4 	4.7 	50.2 	2.6% 	0.1 	0.3 	16.7
Smith, J.R. 	CLE 	29 	70 	70 	45.3% 	2.0 	4.9 	40.4 	58.5 	4.8% 	0.2 	0.5 	38.9 	40.5% 	1.8 	4.4 	40.5
Green, Danny 	SAS 	27 	81 	80 	53.6% 	2.1 	4.8 	44.0 	64.8 	3.5% 	0.1 	0.3 	38.5 	50.1% 	2.0 	4.5 	44.4
Davis, Anthony 	NOP 	22 	68 	68 	27.5% 	2.2 	4.8 	46.0 	46.2 	26.7% 	2.2 	4.7 	47.0 	0.8% 	0.0 	0.1 	11.1
Chandler, Wilson 	DEN 	27 	78 	74 	38.3% 	1.6 	4.8 	34.1 	50.1 	2.5% 	0.1 	0.3 	33.3 	35.8% 	1.5 	4.5 	34.2
Barnes, Matt 	LAC 	35 	76 	75 	58.1% 	1.8 	4.7 	37.3 	54.9 	3.2% 	0.1 	0.3 	40.0 	54.9% 	1.7 	4.5 	37.2
Parsons, Chandler 	DAL 	26 	66 	66 	37.6% 	1.8 	4.7 	38.4 	56.0 	3.2% 	0.1 	0.4 	38.5 	34.4% 	1.6 	4.3 	38.4
Ilyasova, Ersan 	MIL 	27 	57 	56 	49.0% 	2.0 	4.7 	43.4 	55.2 	19.1% 	0.9 	1.8 	51.0 	29.9% 	1.1 	2.9 	38.7
Teletovic, Mirza 	BKN 	29 	40 	39 	58.5% 	1.6 	4.7 	33.9 	48.7 	4.4% 	0.2 	0.3 	57.1 	54.1% 	1.4 	4.3 	32.0
Gasol, Pau 	CHI 	34 	78 	78 	31.3% 	2.3 	4.6 	49.0 	50.7 	29.1% 	2.1 	4.3 	49.1 	2.2% 	0.1 	0.3 	48.0
Gallinari, Danilo 	DEN 	26 	59 	59 	47.8% 	1.7 	4.6 	36.9 	53.3 	4.6% 	0.2 	0.4 	42.3 	43.2% 	1.5 	4.2 	36.3
Green, Draymond 	GSW 	25 	79 	78 	47.9% 	1.6 	4.6 	35.6 	50.7 	6.2% 	0.3 	0.6 	42.6 	41.7% 	1.4 	4.0 	34.6
Arthur, Darrell 	DEN 	27 	58 	58 	69.3% 	1.6 	4.5 	35.6 	40.3 	41.5% 	1.2 	2.7 	43.7 	27.8% 	0.4 	1.8 	23.6
Dunleavy, Mike 	CHI 	34 	63 	62 	58.5% 	1.9 	4.5 	42.0 	58.2 	10.6% 	0.4 	0.8 	52.9 	47.9% 	1.4 	3.6 	39.6
Walker, Henry 	MIA 	27 	24 	21 	70.7% 	1.6 	4.4 	36.8 	55.2 	0.0% 	0.0 	0.0 	- 	70.7% 	1.6 	4.4 	36.8
Williams, Marvin 	CHA 	28 	78 	77 	69.4% 	1.7 	4.4 	38.2 	51.6 	17.0% 	0.5 	1.1 	46.4 	52.4% 	1.2 	3.3 	35.5
Thompson, Hollis 	PHI 	24 	71 	70 	58.0% 	1.8 	4.3 	40.6 	58.6 	9.0% 	0.2 	0.7 	29.2 	49.0% 	1.6 	3.7 	42.7
Sullinger, Jared 	BOS 	23 	58 	57 	35.6% 	1.6 	4.3 	36.7 	46.0 	11.9% 	0.8 	1.4 	53.6 	23.7% 	0.8 	2.9 	28.1
Ross, Terrence 	TOR 	24 	82 	81 	47.0% 	1.6 	4.3 	38.1 	56.1 	3.2% 	0.1 	0.3 	33.3 	43.8% 	1.6 	4.0 	38.5
Middleton, Khris 	MIL 	23 	78 	78 	39.3% 	1.9 	4.3 	43.5 	58.5 	11.3% 	0.6 	1.2 	46.4 	28.0% 	1.3 	3.1 	42.3
Morris, Markieff 	PHX 	25 	82 	80 	32.0% 	1.7 	4.3 	39.4 	47.1 	16.7% 	1.0 	2.2 	45.9 	15.3% 	0.7 	2.0 	32.3
Pierce, Paul 	WAS 	37 	73 	73 	46.9% 	1.7 	4.2 	41.2 	59.6 	4.4% 	0.2 	0.4 	48.3 	42.5% 	1.6 	3.8 	40.5
Smith, Jason 	NYK 	29 	81 	78 	57.7% 	1.9 	4.2 	44.8 	47.1 	50.9% 	1.7 	3.7 	45.8 	6.8% 	0.2 	0.5 	37.5
Batum, Nicolas 	POR 	26 	71 	71 	49.0% 	1.3 	4.1 	32.1 	44.7 	8.0% 	0.3 	0.7 	41.7 	41.0% 	1.0 	3.5 	30.2
Carroll, DeMarre 	ATL 	28 	70 	70 	44.6% 	1.7 	4.1 	41.1 	59.9 	3.7% 	0.1 	0.3 	41.7 	40.9% 	1.5 	3.8 	41.1
Green, Gerald 	PHX 	29 	74 	72 	38.6% 	1.6 	4.0 	39.1 	54.7 	6.5% 	0.3 	0.7 	48.0 	32.2% 	1.3 	3.4 	37.3
Mbah a Moute, Luc 	PHI 	28 	67 	65 	43.7% 	1.4 	4.0 	34.2 	44.6 	14.1% 	0.5 	1.3 	41.4 	29.6% 	0.8 	2.7 	30.8
Johnson, Wesley 	LAL 	27 	76 	76 	43.9% 	1.6 	4.0 	40.6 	53.3 	15.1% 	0.6 	1.4 	44.2 	28.8% 	1.0 	2.6 	38.7
Tolliver, Anthony 	DET 	29 	76 	71 	77.5% 	1.4 	4.0 	36.3 	53.3 	5.6% 	0.1 	0.3 	31.8 	71.9% 	1.4 	3.7 	36.7
Harris, Tobias 	ORL 	22 	68 	67 	28.4% 	1.5 	4.0 	37.9 	53.0 	5.9% 	0.3 	0.8 	37.5 	22.5% 	1.2 	3.1 	38.0
Smith, Josh 	HOU 	29 	83 	83 	32.7% 	1.2 	3.9 	32.1 	42.7 	11.0% 	0.4 	1.3 	32.4 	21.7% 	0.8 	2.6 	31.9
Patterson, Patrick 	TOR 	26 	81 	78 	57.7% 	1.5 	3.8 	39.6 	56.7 	6.4% 	0.2 	0.4 	50.0 	51.3% 	1.3 	3.4 	38.3
Morris, Marcus 	PHX 	25 	81 	77 	40.5% 	1.5 	3.8 	38.6 	54.4 	6.3% 	0.3 	0.6 	45.8 	34.2% 	1.2 	3.2 	37.3
Butler, Jimmy 	CHI 	25 	65 	64 	26.8% 	1.6 	3.8 	42.6 	55.3 	9.5% 	0.7 	1.3 	48.3 	17.2% 	0.9 	2.4 	39.5
Johnson, Joe 	BKN 	33 	80 	80 	29.1% 	1.4 	3.7 	37.9 	55.2 	2.7% 	0.1 	0.3 	35.7 	26.4% 	1.3 	3.4 	38.1
Dudley, Jared 	MIL 	29 	71 	68 	62.5% 	1.6 	3.6 	44.2 	57.8 	19.1% 	0.6 	1.1 	55.7 	43.3% 	1.0 	2.5 	39.1
Hayward, Gordon 	UTA 	25 	76 	73 	25.3% 	1.5 	3.6 	42.3 	59.7 	4.5% 	0.3 	0.6 	42.9 	20.8% 	1.3 	3.0 	42.2
Butler, Rasual 	WAS 	35 	75 	68 	52.3% 	1.4 	3.6 	40.0 	54.4 	14.9% 	0.4 	1.0 	39.0 	37.4% 	1.0 	2.6 	40.4
Villanueva, Charlie 	DAL 	30 	64 	57 	63.3% 	1.4 	3.6 	38.4 	55.7 	5.2% 	0.1 	0.3 	47.4 	58.0% 	1.2 	3.3 	37.6
Deng, Luol 	MIA 	30 	71 	70 	33.0% 	1.3 	3.6 	37.0 	51.0 	7.9% 	0.3 	0.9 	37.7 	25.1% 	1.0 	2.7 	36.8
