Team	Cen2%	Cen2Att	Cen3%	Cen3Att	TeamOpen	TeamOpen3
ATL	47.1566129032258	496	32.516354016354	207.9	81.1 	26.1 
BKN	45.737339055794	279.6	12.5	7.2	82.7 	19.9 
BOS	46.9698036951501	346.4	36.9976717112922	171.8	87.6 	24.6 
CHA	40.3697787371829	370.6	25	6.5	84.3 	19.1 
CHI	46.2399083674946	414.7	48	23.4	82.3 	22.1 
CLE	41.8811019283746	181.5	25.2084112149533	10.7	82.3 	27.5 
DAL	41.9624876604146	101.3	0	0	85.7 	25.4 
DEN	25.8447219069239	88.1	20	14.4	86.9 	24.7 
DET	35.4801904761905	52.5	0	0	85.6 	24.9 
GSW	43.7329345297441	300.9	26.7	15.2	86.5 	26.7 
HOU	46.85	32	37.9	126	82.9 	32.7 
IND	40.3321361648969	320.2	20	6	82.9 	21.2 
LAC	31.8344827586207	95.7	31.1	167.9	83.0 	26.7 
LAL	39.2278227727489	419.8	14.3	7	85.2 	18.8 
MEM	41.0807295796986	378.3	10	8.1	81.6 	15.2 
MIA	51.0924892703863	186.4	40.0660412757974	159.9	76.6 	20.0 
MIL	42.9505300353357	226.4	0	0	81.5 	18.2 
MIN	44.5539206781714	330.3	27.6427906976744	43	83.0 	14.9 
NOP	44.8	405.7	11.1	6.8	83.2 	19.6 
NYK	45.0758481421648	495.2	36.7286445012788	78.2	81.6 	19.6 
OKC	37.25	224	34.9	45	86.3 	22.7 
ORL	46.0238699621465	449.1	28.9	40.8	82.5 	19.4 
PHI	37.7667116357504	296.5	13.8878048780488	28.7	81.2 	26.0 
PHX	33.36	93.5	50	4.8	85.2 	24.9 
POR	43.340133037694	315.7	41.6	99	85.6 	27.2 
SAC	41.6851509550216	162.3	40	5.9	79.9 	16.3 
SAS	38.395701540957	123.3	34.3021178962231	283.3	83.2 	22.5 
TOR	51.5706855791962	42.3	16.7	7.4	83.2 	25.1 
UTA	0	8.2	0	0	78.8 	21.7 
WAS	42.8616938427841	410.9	25	6.7	82.4 	16.8 
