Team	FG%	FGatt	3%	3Att	TeamOpen	TeamOpen3
ATL	47.5021014289717	713.8	32.516354016354	207.9	41.6	22.3
BKN	44.9857740585774	286.8	12.5	7.2	34.1	15.9
BOS	49.7359984984985	532.8	36.9976717112922	171.8	41.1	19.7
CHA	40.6223813312119	377.1	25	6.5	36.8	14.9
CHI	47.7030586624059	438.1	48	23.4	35.8	17.7
CLE	41.612447257384	189.6	25.2084112149533	10.7	37.5	21.7
DAL	41.1437314906219	101.3	0	0	41.6	20.9
DEN	25.476	102.5	20	14.4	36.9	19
DET	35.4801904761905	52.5	0	0	34.1	19.6
GSW	43.4496678266371	316.1	26.7	15.2	39.2	21
HOU	55.6189873417722	158	37.9	126	36.8	26
IND	39.8972573839662	331.8	20	6	37.3	16.2
LAC	41.0981790591806	263.6	31.1	167.9	42.8	21.2
LAL	38.9485473289597	426.8	14.3	7	34.5	12.5
MEM	40.4166149068323	386.4	10	8.1	36.1	13.1
MIA	55.2300965360591	352.2	40.0660412757974	159.9	33.2	16.3
MIL	42.7825342465753	233.6	0	0	37.3	15
MIN	44.3942444152431	380.5	27.6427906976744	43	32.4	11.6
NOP	44.2032484848485	412.5	11.1	6.8	36.6	17.1
NYK	46.4976921742148	576.3	36.7286445012788	78.2	38.6	15.5
OKC	39.3980879541109	261.5	34.9	45	37.4	17.9
ORL	45.7657889365177	489.9	28.9	40.8	36.2	17
PHI	36.2533893221356	333.4	13.8878048780488	28.7	35.7	21.3
PHX	35.4391634980989	105.2	50	4.8	39	19.8
POR	47.8981914637087	414.7	41.6	99	42.7	22.1
SAC	42.1457788347206	168.2	40	5.9	33.5	13.4
SAS	47.432546705998	406.8	34.3021178962231	283.3	38	19.2
TOR	48.507847082495	49.7	16.7	7.4	33.4	18.6
UTA	0	8.2	0	0	36.7	18.4
WAS	42.5022389875882	410.9	25	6.7	37.6	13.3
