Team	FG%	FGatt	3%	3Att	TeamOpen	TeamOpen3
ATL 	51.2276789457922	1669.5	36.3141392610638	985.2	41.6	22.3
BKN 	49.5054568833883	1244.3	35.0068144259745	1028.7	34.1	15.9
BOS 	48.8951293437654	1418.7	33.6827693040991	839.2	41.1	19.7
CHA 	45.5361864730608	1046.8	33.431039229181	581.2	36.8	14.9
CHI 	52.6908992047849	1471.3	38.0587260241534	844.6	35.8	17.7
CLE 	53.6669387088876	1225.3	37.4378237358884	1054.1	37.5	21.7
DAL 	52.4640823622881	1510.4	37.4674701175541	1012.3	41.6	20.9
DEN 	45.6165863730213	1017.1	32.7557302441043	725.1	36.9	19
DET 	52.8277380825424	937.7	38.03026862365	722.2	34.1	19.6
GSW 	50.3144433390612	1105.7	36.2763245956498	717.2	39.2	21
HOU 	47.1733234780271	1488.2	32.8362737464964	1284.4	36.8	26
IND 	48.8101098901099	1274	36.6083495903238	512.6	37.3	16.2
LAC 	49.1950500556174	1078.8	37.0993243243243	636.4	42.8	21.2
LAL 	48.4535916580844	776.8	37.210775047259	423.2	34.5	12.5
MEM 	43.7057771847899	749.5	31.3715702479339	484	36.1	13.1
MIA 	47.2000611340364	654.3	34.7809243514279	458.7	33.2	16.3
MIL 	53.115581110378	1060.9	39.0710391276459	623.6	37.3	15
MIN 	45.3750082318077	911.1	35.4978692352598	342.6	32.4	11.6
NOP 	52.0162021284297	1381.3	37.7930567964263	783.5	36.6	17.1
NYK 	45.7169041807732	1270.1	33.7316550764951	359.5	38.6	15.5
OKC 	50.2695554515676	1068.5	37.3535287894816	661.7	37.4	17.9
ORL 	49.7342395833333	960	35.5509844703272	721.2	36.2	17
PHI 	49.5250727378528	1374.8	36.2344518395267	1081.8	35.7	21.3
PHX 	51.1720636304206	1376.7	35.5418925728106	992.3	39	19.8
POR 	47.7647961203484	1010.4	34.3059273762905	561.8	42.7	22.1
SAC 	46.4825906120024	673.2	35.1642158316039	337.3	33.5	13.4
SAS 	53.6611361845404	1395.9	39.2287242394504	1019	38	19.2
TOR 	54.9012215086261	794.1	37.523421879463	700.2	33.4	18.6
UTA 	49.3491401818673	1110.7	37.3523997741389	708.4	36.7	18.4
WAS 	49.9444330425859	1364.3	37.5518082916789	680.2	37.6	13.3
