#Team 	GP 	G 	Freq 	FGM 	FGA 	FG% 	eFG% 	2FG Freq 	2FGM 	2FGA 	2FG% 	3FG Freq 	3PM 	3PA 	3P%
Boston Celtics	82 	82 	30.2% 	11.0 	26.4 	41.6 	47.7 	18.1% 	7.7 	15.8 	48.8 	12.1% 	3.2 	10.6 	30.7
Dallas Mavericks	82 	82 	30.0% 	11.5 	25.7 	44.6 	52.5 	17.0% 	7.4 	14.6 	51.0 	13.0% 	4.0 	11.1 	36.3
Portland Trail Blazers	82 	82 	29.6% 	10.5 	25.3 	41.5 	49.0 	16.5% 	6.7 	14.1 	47.5 	13.1% 	3.8 	11.2 	33.9
New York Knicks	81 	81 	30.9% 	10.8 	25.2 	42.7 	49.0 	19.6% 	7.6 	16.0 	47.3 	11.2% 	3.2 	9.2 	34.7
Denver Nuggets	82 	82 	28.1% 	10.1 	24.4 	41.1 	49.3 	14.7% 	6.1 	12.8 	47.6 	13.4% 	4.0 	11.7 	34.1
Phoenix Suns	82 	82 	28.5% 	10.3 	24.3 	42.5 	49.2 	16.8% 	7.1 	14.3 	49.6 	11.7% 	3.2 	10.0 	32.4
Los Angeles Clippers	82 	82 	28.4% 	11.1 	23.6 	47.0 	55.4 	15.8% 	7.1 	13.1 	54.4 	12.6% 	4.0 	10.5 	37.7
Charlotte Hornets	82 	82 	28.0% 	9.7 	23.6 	41.3 	46.9 	18.4% 	7.1 	15.6 	45.6 	9.5% 	2.6 	8.0 	32.8
Cleveland Cavaliers	81 	81 	28.3% 	10.1 	23.3 	43.5 	52.9 	13.8% 	5.8 	11.4 	50.7 	14.5% 	4.4 	11.9 	36.7
Los Angeles Lakers	82 	82 	27.1% 	9.9 	23.1 	42.9 	48.9 	18.2% 	7.1 	15.5 	46.0 	8.9% 	2.8 	7.6 	36.7
Indiana Pacers	82 	82 	27.6% 	9.3 	22.9 	40.7 	47.0 	16.8% 	6.4 	13.9 	46.4 	10.9% 	2.9 	9.0 	32.0
Oklahoma City Thunder	82 	82 	26.5% 	9.8 	22.9 	43.1 	49.3 	16.3% 	7.0 	14.1 	50.0 	10.2% 	2.8 	8.8 	32.1
Washington Wizards	82 	82 	27.8% 	10.0 	22.9 	43.8 	49.3 	19.3% 	7.5 	15.9 	47.2 	8.5% 	2.5 	7.0 	36.1
New Orleans Pelicans	82 	82 	26.9% 	9.6 	22.3 	42.7 	49.6 	16.8% 	6.5 	13.9 	46.4 	10.1% 	3.1 	8.4 	36.7
Golden State Warriors	82 	82 	25.8% 	10.4 	22.3 	46.7 	55.9 	14.0% 	6.3 	12.2 	52.1 	11.7% 	4.1 	10.1 	40.3
Toronto Raptors	82 	82 	26.8% 	9.2 	22.2 	41.6 	49.4 	13.9% 	5.8 	11.5 	49.9 	12.9% 	3.5 	10.7 	32.6
Utah Jazz	82 	82 	28.2% 	9.0 	22.2 	40.4 	46.6 	16.7% 	6.3 	13.2 	47.5 	11.5% 	2.7 	9.1 	30.1
Chicago Bulls	82 	82 	26.9% 	9.3 	22.2 	42.0 	50.2 	14.6% 	5.7 	12.1 	47.1 	12.3% 	3.6 	10.1 	35.9
Memphis Grizzlies	82 	82 	27.0% 	9.8 	22.1 	44.2 	49.1 	19.0% 	7.6 	15.5 	49.1 	8.0% 	2.1 	6.5 	32.7
Milwaukee Bucks	81 	81 	26.9% 	9.6 	21.9 	43.8 	49.7 	18.1% 	7.0 	14.8 	47.5 	8.8% 	2.6 	7.2 	36.1
San Antonio Spurs	82 	82 	26.3% 	9.6 	21.9 	43.6 	50.4 	15.8% 	6.6 	13.2 	49.9 	10.5% 	3.0 	8.7 	34.2
Atlanta Hawks	82 	82 	26.6% 	9.7 	21.5 	45.2 	53.3 	14.8% 	6.2 	12.0 	51.7 	11.7% 	3.5 	9.5 	36.9
Miami Heat	81 	81 	27.7% 	9.2 	21.2 	43.5 	50.2 	17.1% 	6.4 	13.1 	48.9 	10.6% 	2.8 	8.1 	34.9
Houston Rockets	81 	81 	25.4% 	8.5 	21.1 	40.2 	50.6 	9.5% 	4.1 	7.9 	51.9 	15.9% 	4.4 	13.2 	33.2
Philadelphia 76ers	82 	82 	25.7% 	8.2 	20.9 	39.1 	47.8 	11.8% 	4.5 	9.6 	47.0 	13.9% 	3.6 	11.3 	32.4
Detroit Pistons	82 	82 	24.3% 	8.9 	20.8 	42.6 	51.7 	11.8% 	5.1 	10.1 	50.4 	12.5% 	3.8 	10.7 	35.3
Brooklyn Nets	82 	82 	25.2% 	8.8 	20.8 	42.4 	48.7 	14.9% 	6.2 	12.3 	50.2 	10.3% 	2.6 	8.5 	31.0
Minnesota Timberwolves	81 	81 	24.6% 	8.7 	20.4 	42.5 	47.5 	17.3% 	6.6 	14.3 	46.3 	7.3% 	2.0 	6.1 	33.7
Sacramento Kings	82 	82 	25.4% 	9.1 	20.3 	45.1 	50.5 	17.2% 	6.9 	13.7 	50.4 	8.2% 	2.2 	6.5 	33.8
Orlando Magic	82 	82 	24.1% 	9.0 	19.8 	45.4 	52.0 	15.2% 	6.4 	12.6 	50.8 	8.8% 	2.6 	7.3 	36.0
