Boston Celtics	82 	82 	100% 	38.8 	87.6 	44.3 	48.9 	71.9% 	30.7 	63.0 	48.8 	28.1% 	8.0 	24.6 	32.7
Denver Nuggets	82 	82 	100% 	37.7 	86.9 	43.3 	48.0 	71.5% 	29.6 	62.2 	47.6 	28.5% 	8.1 	24.7 	32.5
Golden State Warriors	82 	82 	100% 	41.5 	86.5 	47.9 	54.1 	69.2% 	30.8 	59.8 	51.4 	30.8% 	10.7 	26.7 	40.0
Oklahoma City Thunder	82 	82 	100% 	38.7 	86.3 	44.8 	49.3 	73.7% 	31.0 	63.7 	48.7 	26.3% 	7.7 	22.7 	33.8
Dallas Mavericks	82 	82 	100% 	39.6 	85.7 	46.2 	51.4 	70.4% 	30.7 	60.3 	50.9 	29.6% 	8.9 	25.4 	35.1
Portland Trail Blazers	82 	82 	100% 	38.6 	85.6 	45.1 	50.9 	68.2% 	28.8 	58.4 	49.3 	31.8% 	9.8 	27.2 	36.2
Detroit Pistons	82 	82 	100% 	37.0 	85.6 	43.3 	48.3 	70.9% 	28.4 	60.7 	46.9 	29.1% 	8.6 	24.9 	34.4
Los Angeles Lakers	82 	82 	100% 	37.2 	85.2 	43.7 	47.5 	77.9% 	30.7 	66.3 	46.3 	22.1% 	6.5 	18.8 	34.4
Phoenix Suns	82 	82 	100% 	38.5 	85.2 	45.3 	50.3 	70.7% 	30.0 	60.2 	49.9 	29.3% 	8.5 	24.9 	34.1
Charlotte Hornets	82 	82 	100% 	35.5 	84.3 	42.1 	45.7 	77.4% 	29.4 	65.2 	45.1 	22.6% 	6.1 	19.1 	31.8
San Antonio Spurs	82 	82 	100% 	39.0 	83.2 	46.9 	51.8 	73.0% 	30.7 	60.7 	50.6 	27.0% 	8.3 	22.5 	36.8
New Orleans Pelicans	82 	82 	100% 	38.0 	83.2 	45.7 	50.1 	76.5% 	30.8 	63.6 	48.4 	23.5% 	7.2 	19.6 	36.9
Toronto Raptors	82 	82 	100% 	37.9 	83.2 	45.5 	50.9 	69.8% 	29.0 	58.0 	50.0 	30.2% 	8.8 	25.1 	35.3
Minnesota Timberwolves	81 	81 	100% 	36.3 	83.0 	43.8 	46.7 	82.0% 	31.4 	68.1 	46.1 	18.0% 	4.9 	14.9 	33.0
Los Angeles Clippers	82 	82 	100% 	39.2 	83.0 	47.3 	53.3 	67.8% 	29.2 	56.3 	51.9 	32.2% 	10.0 	26.7 	37.6
Houston Rockets	81 	81 	100% 	36.8 	82.9 	44.3 	51.1 	60.6% 	25.4 	50.3 	50.6 	39.4% 	11.3 	32.7 	34.7
Indiana Pacers	82 	82 	100% 	36.5 	82.9 	44.0 	48.5 	74.4% 	29.0 	61.7 	47.0 	25.6% 	7.5 	21.2 	35.2
Brooklyn Nets	82 	82 	100% 	37.3 	82.7 	45.1 	49.1 	76.0% 	30.7 	62.8 	48.9 	24.0% 	6.6 	19.9 	33.2
Orlando Magic	82 	82 	100% 	37.4 	82.5 	45.3 	49.4 	76.4% 	30.6 	63.0 	48.6 	23.6% 	6.7 	19.4 	34.6
Washington Wizards	82 	82 	100% 	38.1 	82.4 	46.3 	50.0 	79.6% 	32.1 	65.6 	48.9 	20.4% 	6.1 	16.8 	36.1
Chicago Bulls	82 	82 	100% 	36.4 	82.3 	44.2 	49.0 	73.1% 	28.6 	60.2 	47.5 	26.9% 	7.8 	22.1 	35.3
Cleveland Cavaliers	81 	81 	100% 	37.7 	82.3 	45.9 	52.0 	66.6% 	27.6 	54.8 	50.4 	33.4% 	10.1 	27.5 	36.8
Memphis Grizzlies	82 	82 	100% 	37.3 	81.6 	45.7 	48.9 	81.4% 	32.2 	66.4 	48.4 	18.6% 	5.2 	15.2 	33.9
New York Knicks	81 	81 	100% 	34.9 	81.6 	42.8 	47.0 	75.9% 	28.1 	61.9 	45.4 	24.1% 	6.8 	19.6 	34.7
Milwaukee Bucks	81 	81 	100% 	37.5 	81.5 	46.0 	50.0 	77.7% 	30.9 	63.3 	48.8 	22.3% 	6.6 	18.2 	36.3
Philadelphia 76ers	82 	82 	100% 	33.2 	81.2 	40.9 	46.1 	68.0% 	24.9 	55.2 	45.1 	32.0% 	8.3 	26.0 	32.1
Atlanta Hawks	82 	82 	100% 	37.8 	81.1 	46.7 	52.8 	67.9% 	27.9 	55.0 	50.7 	32.1% 	9.9 	26.1 	38.0
Sacramento Kings	82 	82 	100% 	36.4 	79.9 	45.6 	49.1 	79.6% 	30.9 	63.6 	48.5 	20.4% 	5.6 	16.3 	34.1
Utah Jazz	82 	82 	100% 	35.2 	78.8 	44.7 	49.4 	72.5% 	27.8 	57.1 	48.6 	27.5% 	7.4 	21.7 	34.3
Miami Heat	81 	81 	100% 	35.0 	76.6 	45.7 	50.1 	73.9% 	28.3 	56.6 	50.0 	26.1% 	6.7 	20.0 	33.7
