#2014-15 REGULAR SEASON TEAM CLOSEST DEFENDERS (6+ FEET - WIDE OPEN)
#Field Goals	2 Point Field Goals	3 Point Field Goals
#Team	GP	G	Freq	FGM	FGA	FG%	eFG%	2FG Freq	2FGM	2FGA	2FG%	3FG Freq	3PM	3PA	3P%
Atlanta Hawks	82	82	24.7%	9.2	20.1	46.1	58.7	8.9%	4.2	7.2	57.8	15.8%	5.1	12.8	39.4
Los Angeles Clippers	82	82	23.1%	8.8	19.2	45.8	57.0	10.3%	4.5	8.5	52.8	12.8%	4.3	10.7	40.3
Portland Trail Blazers	82	82	20.3%	8.1	17.4	46.3	59.3	7.6%	3.5	6.5	54.4	12.7%	4.5	10.9	41.4
Golden State Warriors	82	82	19.5%	7.9	16.9	46.9	60.4	6.9%	3.3	6.0	55.7	12.6%	4.6	10.9	42.0
Orlando Magic	82	82	19.9%	7.1	16.4	43.3	53.8	8.1%	3.6	6.7	54.3	11.8%	3.5	9.7	35.7
San Antonio Spurs	82	82	19.3%	7.0	16.1	43.8	57.0	6.7%	2.8	5.6	49.8	12.6%	4.3	10.5	40.6
Dallas Mavericks	82	82	18.6%	7.0	15.9	43.9	55.3	7.1%	3.4	6.1	55.3	11.5%	3.6	9.8	36.8
Houston Rockets	81	81	19.0%	6.8	15.7	43.1	58.7	3.5%	1.9	2.9	63.7	15.5%	4.9	12.8	38.3
Milwaukee Bucks	81	81	18.9%	7.2	15.4	46.8	57.0	9.3%	4.1	7.6	54.0	9.6%	3.1	7.8	39.9
Philadelphia 76ers	82	81	18.2%	5.8	14.8	39.1	50.6	5.9%	2.4	4.8	50.4	12.4%	3.4	10.0	33.8
Washington Wizards	82	82	17.9%	7.0	14.7	47.3	55.8	10.2%	4.5	8.4	53.0	7.7%	2.5	6.3	39.7
Boston Celtics	82	82	16.8%	6.5	14.7	44.4	55.8	6.4%	3.2	5.6	57.1	10.4%	3.3	9.1	36.6
Phoenix Suns	82	82	17.2%	6.2	14.7	42.3	55.0	5.7%	2.5	4.8	51.0	11.5%	3.7	9.8	38.0
Oklahoma City Thunder	82	82	16.8%	6.3	14.5	43.9	56.1	6.3%	2.8	5.4	52.1	10.5%	3.5	9.1	38.9
Utah Jazz	82	82	18.4%	6.3	14.5	43.4	56.5	6.6%	2.5	5.2	48.4	11.8%	3.8	9.3	40.7
Indiana Pacers	82	82	17.3%	6.8	14.4	47.4	57.8	8.7%	3.8	7.2	52.9	8.6%	3.0	7.2	41.8
New Orleans Pelicans	82	82	17.2%	6.5	14.3	45.3	57.6	6.7%	3.0	5.5	53.2	10.5%	3.5	8.7	40.2
Cleveland Cavaliers	81	81	17.2%	6.5	14.2	46.0	59.5	5.3%	2.7	4.4	61.7	11.9%	3.8	9.8	39.0
Memphis Grizzlies	82	82	17.2%	6.0	14.0	42.6	51.3	9.1%	3.5	7.4	47.4	8.1%	2.5	6.6	37.1
Chicago Bulls	82	82	16.5%	6.0	13.6	44.4	55.2	7.3%	3.1	6.0	52.0	9.3%	2.9	7.6	38.4
New York Knicks	81	81	16.4%	6.1	13.4	45.9	55.4	8.7%	3.6	7.1	50.8	7.7%	2.5	6.3	40.4
Brooklyn Nets	82	82	16.1%	5.8	13.3	43.9	53.8	7.1%	3.2	5.9	54.3	9.0%	2.6	7.4	35.6
Detroit Pistons	82	82	15.5%	5.7	13.3	43.1	56.0	5.1%	2.3	4.4	52.4	10.4%	3.4	8.9	38.5
Sacramento Kings	82	82	16.5%	5.9	13.2	45.0	54.8	7.8%	3.4	6.3	53.7	8.7%	2.6	6.9	37.1
Charlotte Hornets	82	82	15.6%	5.3	13.2	40.2	48.9	7.5%	3.0	6.3	47.9	8.2%	2.3	6.9	33.2
Denver Nuggets	82	82	14.3%	5.0	12.5	40.3	49.8	6.0%	2.7	5.2	51.7	8.4%	2.4	7.3	32.3
Minnesota Timberwolves	81	81	14.4%	5.3	12.0	44.2	52.4	7.8%	3.3	6.5	51.6	6.7%	2.0	5.5	35.5
Miami Heat	81	81	15.6%	5.0	12.0	41.5	53.9	4.9%	2.0	3.8	53.9	10.7%	3.0	8.2	35.9
Los Angeles Lakers	82	82	13.3%	4.9	11.4	43.0	50.9	7.6%	3.1	6.4	48.3	5.8%	1.8	4.9	36.1
Toronto Raptors	82	82	13.4%	5.3	11.2	47.6	61.6	3.9%	2.2	3.3	66.8	9.5%	3.1	7.9	39.6
