Chris-Bosh 1342 1675 1131 1368 3 3
Hedo-Turkoglu 519 691 462 568 13 13
Dwight-Howard 1519 2766 1322 2276 0 0
Keith-Bogans 107 146 93 119 4 5
Kris-Humphries 396 584 357 478 0 0
Rashard-Lewis 395 510 306 353 23 24
Jamario-Moon 96 125 87 102 1 2
Jose-Calderon 373 419 212 234 3 3
Andrea-Bargnani 602 755 521 608 4 4
Maurice-Evans 122 160 103 125 2 3
Carlos-Delfino 185 244 164 201 4 5
Jameer-Nelson 329 414 275 316 19 22
Andres-Nocioni 250 322 208 261 8 12
Mark-Blount 53 86 43 65 0 0
Dwyane-Wade 1525 2061 1258 1603 17 21
Thabo-Sefolosha 214 283 179 230 2 2
Earl-Barron 56 87 51 72 0 0
Shawn-Marion 328 451 305 377 0 0
Dorell-Wright 290 356 223 273 20 25
Joe-Smith 125 179 129 157 0 0
Tyrus-Thomas 360 492 321 409 0 0
Kirk-Hinrich 283 373 222 271 3 5
Lamar-Odom 434 658 334 504 2 5
Amare-Stoudemire 1128 1442 883 1091 1 1
Kobe-Bryant 1719 2090 1354 1589 47 60
Derek-Fisher 292 361 256 279 10 12
Shaquille-O'Neal 354 680 305 526 0 0
Boris-Diaw 292 417 244 324 0 0
Steve-Nash 681 747 397 428 10 10
Leandro-Barbosa 404 493 296 353 4 5
Pau-Gasol 1010 1314 885 1078 1 1
Sasha-Vujacic 136 161 101 116 10 10
Willie-Green 247 327 199 242 0 0
Thaddeus-Young 429 645 369 516 0 0
Louis-Williams 332 419 295 338 45 49
Rodney-Carney 93 131 81 105 1 1
Zach-Randolph 877 1185 697 893 0 0
Eddy-Curry 111 183 94 149 0 0
Calvin-Booth 7 9 5 9 0 0
Quentin-Richardson 131 187 123 157 5 6
Reggie-Evans 245 515 262 452 0 0
Malik-Rose 43 53 31 43 0 0
David-Lee 792 1051 663 807 0 0
Andre-Iguodala 853 1282 729 1017 17 25
Samuel-Dalembert 331 459 292 396 0 0
Renaldo-Balkman 56 99 40 82 0 0
Jason-Smith 198 264 186 228 0 0
Ron-Artest 331 476 292 396 2 3
Kevin-Martin 1313 1533 1042 1151 33 34
Josh-Smith 814 1393 709 1059 1 2
Mikki-Moore 111 151 84 110 0 0
Zaza-Pachulia 442 609 378 517 0 0
Joe-Johnson 821 1028 632 739 6 9
Josh-Childress 139 184 106 144 0 0
Brad-Miller 430 519 325 387 1 1
Al-Horford 507 707 420 544 0 0
Mike-Bibby 186 249 137 168 3 3
Beno-Udrih 455 542 315 382 1 1
Marvin-Williams 613 778 512 612 0 1
Shelden-Williams 157 235 167 208 0 0
Acie-Law 87 116 74 91 1 1
Jason-Collins 59 103 45 89 0 0
Mike-Conley 621 778 475 593 4 5
Hakim-Warrick 520 739 465 636 0 0
Rudy-Gay 982 1263 800 978 0 2
Brandon-Roy 619 796 528 648 14 14
Sergio-Rodriguez 77 113 76 94 1 1
LaMarcus-Aldridge 1040 1312 835 1046 0 0
James-Jones 142 172 93 107 26 30
Channing-Frye 215 267 175 210 7 7
Kyle-Lowry 742 989 668 805 21 24
Jarrett-Jack 733 862 554 642 22 23
Andre-Brown 14 25 7 20 0 0
Tyson-Chandler 622 939 539 767 0 0
David-West 942 1159 784 925 0 0
Allen-Iverson 545 689 453 556 11 14
Chris-Paul 1153 1353 927 1039 24 26
J.R.-Smith 500 721 454 568 9 14
Peja-Stojakovic 198 223 135 144 9 9
Linas-Kleiza 249 337 209 274 4 5
Morris-Peterson 60 85 45 66 5 7
Kenyon-Martin 214 407 199 331 0 0
Eduardo-Najera 51 80 39 66 0 0
Marcus-Camby 225 357 202 295 0 0
Ryan-Bowen 9 20 12 16 0 0
Melvin-Ely 36 60 32 55 0 0
Julian-Wright 50 91 46 74 0 0
Von-Wafer 86 124 79 96 1 1
Steve-Blake 138 177 105 133 8 10
Spencer-Hawes 242 364 209 300 0 0
Travis-Outlaw 330 460 307 396 6 8
John-Salmons 572 736 490 571 4 4
Francisco-Garcia 228 301 198 228 5 5
Raef-LaFrentz 6 12 5 7 0 0
Michael-Redd 384 482 285 343 3 7
Desmond-Mason 88 149 75 113 0 0
Yi-Jianlian 230 304 216 268 1 1
Keyon-Dooling 254 314 186 222 4 4
Bobby-Simmons 62 81 52 70 4 4
Adonal-Foyle 9 21 10 19 0 0
Charlie-Bell 90 128 96 110 0 0
Dan-Gadzuric 49 103 41 82 0 0
Andrew-Bogut 307 540 237 434 0 0
Mo-Williams 590 681 391 434 27 30
Jeff-Foster 118 199 102 158 0 0
Mike-Dunleavy 486 608 401 466 27 36
Andre-Miller 856 1067 662 795 0 0
Marquis-Daniels 172 258 144 191 1 2
Danny-Granger 988 1156 746 868 35 42
Marko-Jaric 77 109 71 92 2 3
Craig-Smith 292 432 226 341 0 0
Al-Jefferson 718 1013 561 742 0 0
Corey-Brewer 412 614 379 507 13 17
Ryan-Gomes 285 364 222 265 1 1
Antoine-Walker 20 35 15 31 0 0
Rashad-McCants 119 168 99 123 5 5
Paul-Pierce 1296 1602 1089 1264 17 22
Tony-Allen 421 601 358 477 0 0
Mike-Miller 223 303 150 188 4 7
Kendrick-Perkins 298 526 272 432 0 0
Rajon-Rondo 373 659 348 539 5 9
Kevin-Garnett 601 726 503 611 0 0
Darko-Milicic 119 224 102 182 0 0
Kwame-Brown 155 332 139 270 0 0
P.J.-Brown 5 9 6 7 0 0
Javaris-Crittenton 73 112 49 80 0 1
Casey-Jacobsen 8 9 5 8 0 0
Joel-Przybilla 136 214 117 175 0 0
Kelenna-Azubuike 162 220 140 172 0 0
Stephen-Jackson 720 918 579 694 19 21
Baron-Davis 458 608 359 452 7 8
Austin-Croshere 21 26 15 18 0 0
Matt-Barnes 309 422 269 347 0 2
Troy-Hudson 2 2 2 2 0 0
Michael-Finley 70 93 48 59 3 3
Kevin-Durant 1924 2213 1471 1637 53 58
Fabricio-Oberto 37 64 34 51 0 0
Earl-Watson 218 309 191 259 5 5
Jeff-Green 677 872 551 682 5 6
Tim-Duncan 927 1335 835 1085 0 0
Nick-Collison 276 386 223 302 0 0
Jacque-Vaughn 40 51 34 43 0 0
Johan-Petro 86 118 65 96 0 0
Matt-Bonner 93 122 75 94 10 13
Tony-Parker 851 1135 726 889 0 0
Bruce-Bowen 31 49 25 42 3 4
Manu-Ginobili 890 1072 686 795 28 30
Carmelo-Anthony 1525 1913 1200 1435 12 16
Nene-Hilario 597 885 481 676 0 0
Anthony-Carter 77 108 71 86 0 0
Charlie-Villanueva 310 408 257 320 5 7
Richard-Jefferson 781 1060 691 844 5 7
Bostjan-Nachbar 80 105 74 91 0 0
DeSagana-Diop 34 90 33 73 0 0
Anthony-Parker 212 280 182 221 8 10
Devin-Harris 960 1228 808 965 13 20
Vince-Carter 763 964 615 730 6 9
T.J.-Ford 281 341 222 259 2 3
Stromile-Swift 47 72 37 61 0 0
Trenton-Hassell 39 56 40 48 0 0
Joey-Graham 134 172 114 136 0 0
Dirk-Nowitzki 1483 1698 1129 1236 21 21
Jason-Kapono 50 64 32 39 3 3
Erick-Dampier 138 235 120 195 0 0
Josh-Howard 383 496 315 393 1 2
Jason-Terry 571 691 465 505 14 19
Darrick-Martin 2 2 2 2 0 0
Jerry-Stackhouse 125 151 111 120 3 3
Devean-George 31 42 26 37 0 0
Martell-Webster 319 412 269 336 25 27
Dan-Dickau 37 47 30 33 1 2
Josh-Powell 78 112 77 99 0 0
Smush-Parker 9 15 10 13 0 0
Nick-Fazekas 8 13 7 9 0 0
Cuttino-Mobley 92 118 79 92 0 0
Sean-Williams 60 103 58 86 0 0
Antoine-Wright 93 132 76 106 0 0
Ronnie-Brewer 384 564 297 445 3 4
Jamaal-Magloire 47 110 39 97 0 0
Mehmet-Okur 366 474 299 345 4 5
Jarron-Collins 40 64 31 56 0 0
Malik-Allen 24 34 22 27 0 0
Matt-Harpring 109 148 87 121 0 0
Carlos-Boozer 671 973 550 733 0 0
Andrei-Kirilenko 535 713 475 606 1 2
Deron-Williams 1149 1419 924 1072 28 32
Paul-Millsap 843 1158 697 942 1 1
Eddie-Gill 5 5 4 4 0 0
Josh-Boone 73 194 74 159 0 0
Ronnie-Price 104 148 98 126 0 0
Brendan-Haywood 284 511 239 399 0 0
Antawn-Jamison 708 996 576 791 23 26
Nick-Young 492 611 418 474 24 33
Kareem-Rush 19 26 15 20 0 0
Jermaine-O'Neal 333 443 270 355 0 0
Roger-Mason 139 166 74 84 9 10
Troy-Murphy 286 372 246 294 2 3
Darius-Songaila 116 135 91 103 0 0
Andris-Biedrins 135 266 116 209 0 0
Al-Harrington 462 608 364 487 3 4
Monta-Ellis 966 1260 785 1003 12 17
Jason-Kidd 220 277 198 230 6 7
Darrell-Armstrong 9 14 8 11 1 1
Daequan-Cook 79 101 64 76 10 12
Jason-Hart 30 39 25 28 1 1
C.J.-Miles 376 486 287 338 8 8
Udonis-Haslem 307 408 259 329 0 0
Jason-Richardson 387 542 327 432 12 15
Jared-Dudley 358 510 340 432 11 15
Raymond-Felton 576 735 433 531 4 5
Emeka-Okafor 490 857 387 681 0 0
Gerald-Wallace 896 1214 765 987 9 9
Nazr-Mohammed 171 281 139 227 0 0
Luol-Deng 736 986 666 826 3 3
Jamaal-Tinsley 64 95 61 75 0 0
Ben-Gordon 702 824 488 547 15 19
Shawne-Williams 96 119 70 96 2 2
Chris-Duhon 194 257 148 177 5 7
Aaron-Gray 98 172 77 139 0 0
Joakim-Noah 515 754 477 641 0 0
Rasho-Nesterovic 37 51 26 35 0 0
Matt-Carroll 129 156 74 96 5 7
Primoz-Brezec 13 26 12 20 0 0
Ryan-Hollins 243 374 211 318 0 0
Steve-Francis 6 9 6 9 0 0
Yao-Ming 418 504 314 349 0 0
Tracy-McGrady 287 417 253 344 9 10
Luther-Head 92 122 73 83 7 8
Bonzi-Wells 71 121 70 99 0 0
Kyle-Korver 346 410 209 224 16 17
Luis-Scola 671 909 578 769 0 0
Mike-James 76 93 59 76 2 2
Grant-Hill 471 596 385 455 1 1
Zydrunas-Ilgauskas 238 309 207 255 0 0
LeBron-James 1866 2576 1513 1930 12 13
Ira-Newble 12 14 8 12 0 0
Drew-Gooden 426 527 352 427 3 3
Daniel-Gibson 197 265 155 188 29 32
Ime-Udoka 65 95 52 73 1 1
Francisco-Elson 44 62 43 50 0 0
Jeremy-Richardson 3 4 2 4 0 0
DeShawn-Stevenson 126 191 130 166 9 12
Antonio-Daniels 139 180 110 137 0 0
Andray-Blatche 440 618 352 476 1 1
Caron-Butler 622 746 479 549 15 15
Sam-Cassell 66 80 61 64 0 0
Tim-Thomas 118 163 98 126 7 7
Gerald-Green 133 181 121 134 5 6
Aaron-Williams 8 11 6 7 0 0
Al-Thornton 377 526 324 412 1 1
Brevin-Knight 57 70 48 60 1 1
Quinton-Ross 42 71 42 56 1 1
Marcus-Banks 38 51 30 39 0 0
Royal-Ivey 70 106 70 91 0 1
Raja-Bell 150 175 127 143 2 3
Chris-Wilcox 199 352 180 275 0 0
Damien-Wilkins 223 306 174 228 2 2
Wally-Szczerbiak 132 158 106 122 1 1
Mouhamed-Sene 8 15 8 12 0 0
Corey-Maggette 969 1201 845 991 10 11
Chris-Kaman 398 542 333 437 0 0
Randy-Foye 428 519 338 379 14 16
Tayshaun-Prince 431 586 363 471 1 1
Chauncey-Billups 993 1110 763 812 40 44
Amir-Johnson 302 448 248 344 0 0
Rodney-Stuckey 931 1149 704 832 2 2
Jason-Maxiell 320 546 261 455 0 0
Jarvis-Hayes 53 73 39 54 3 3
Salim-Stoudamire 21 25 15 20 5 5
Jake-Voskuhl 19 22 16 21 0 0
Stephane-Lasme 6 17 13 15 0 0
Ramon-Sessions 775 995 669 820 0 0
Joel-Anthony 126 204 127 177 0 0
Ricky-Davis 109 147 95 116 0 1
Chris-Quinn 80 97 64 75 0 0
Rafer-Alston 164 224 146 198 2 2
Shane-Battier 160 235 156 194 6 8
Bobby-Jones 23 29 16 21 0 0
Juan-Carlos-Navarro 68 77 50 63 4 4
Dahntay-Jones 329 428 256 337 4 6
Jannero-Pargo 84 93 59 65 3 3
Rasual-Butler 169 221 132 158 9 11
Luke-Jackson 9 13 7 10 0 0
Alexander-Johnson 27 45 30 38 0 0
Rasheed-Wallace 166 218 136 176 0 0
