3.7947331922 3.7947331922 113.2 100.5 0.483 0.153 0.279 13.6 11.6 41.8 World Peace,Metta Bryant,Kobe Fisher,Derek Gasol,Pau Odom,Lamar 10
3.66060104354 3.61109401705 106.3 102.9 0.507 0.163 0.233 10.6 11.7 38.2 Ariza,Trevor Belinelli,Marco Okafor,Emeka Paul,Chris West,David 10
3.31662479036 3.16227766017 113.4 104.5 0.514 0.159 0.253 12.7 15.1 44.5 Battier,Shane Hayes,Charles Lowry,Kyle Martin,Kevin Scola,Luis 10
3.0 2.99332590942 105.6 100.6 0.492 0.148 0.235 10.7 12.1 41.2 Brand,Elton Hawes,Spencer Holiday,Jrue Iguodala,Andre Meeks,Jodie 10
4.19523539268 4.17612260356 110.0 99.7 0.476 0.136 0.258 12.0 15.4 37.2 World Peace,Metta Bryant,Kobe Bynum,Andrew Fisher,Derek Gasol,Pau 10
2.60768096208 2.60768096208 102.9 106.6 0.507 0.15 0.285 13.5 13.7 43.9 Bell,Raja Jefferson,Al Kirilenko,Andrei Millsap,Paul Williams,Deron 10
2.89827534924 2.87054001888 109.1 97.8 0.485 0.144 0.223 11.9 14.7 41.3 Blair,DeJuan Duncan,Tim Ginobili,Manu Jefferson,Richard Parker,Tony 10
3.09838667697 2.99332590942 105.3 108.9 0.537 0.161 0.284 14.3 26.4 49.0 Biedrins,Andris Curry,Stephen Ellis,Monta Lee,David Wright,Dorell 10
3.89871773792 3.89871773792 105.0 94.4 0.448 0.147 0.255 14.6 10.0 36.3 Bass,Brandon Howard,Dwight Nelson,Jameer Richardson,Jason Turkoglu,Hedo 10
3.31662479036 3.31058907145 112.3 107.1 0.511 0.142 0.272 13.8 11.8 51.5 Chandler,Wilson Felton,Raymond Fields,Landry Gallinari,Danilo Stoudemire,Amar'e 10
3.25576411922 3.2 106.4 107.4 0.519 0.144 0.271 15.9 14.3 53.5 Durant,Kevin Green,Jeff Krstic,Nenad Sefolosha,Thabo Westbrook,Russell 10
3.46410161514 3.44093010682 111.2 94.5 0.454 0.176 0.246 11.8 12.0 37.3 Allen,Ray Davis,Glen Garnett,Kevin Pierce,Paul Rondo,Rajon 10
3.54964786986 3.40587727319 103.9 106.2 0.483 0.125 0.278 14.3 18.5 38.8 Beasley,Michael Johnson,Wesley Love,Kevin Milicic,Darko Ridnour,Luke 10
3.52136337233 3.49857113691 103.7 100.3 0.518 0.173 0.201 7.8 13.4 36.8 Aldridge,LaMarcus Batum,Nicolas Camby,Marcus Matthews,Wesley Miller,Andre 10
5.03984126734 5.03587132481 110.8 97.3 0.449 0.127 0.249 13.7 14.6 40.9 Collison,Darren Dunleavy,Mike Granger,Danny Hibbert,Roy McRoberts,Josh 10
4.79583152331 4.69041575982 111.7 100.3 0.493 0.134 0.207 9.4 14.8 43.4 Arroyo,Carlos Bosh,Chris Ilgauskas,Zydrunas James,LeBron Wade,Dwyane 10
