Jon Koncak, 84
Anthony Parker, 78
Rick Fox, 79
Rick Mahorn, 82
Kelvin Ransey, 73
Charles Dudley, 74
Juaquin Hawkins, 79
Mike Kearns, 74
Kevin Joyce, 75
Ray Felix, 83
Jacky Dorsey, 79
Bill Crow, 73
Elvin Hayes, 81
Andy Kostecka, 75
Austin Daye, 83
Brook Steppe, 77
James Michael McAdoo, 81
Milt Williams, 74
Eddie Griffin, 82
Ben Kelso, 75
Ray Kuka, 75
Bill Walton, 83
Claude English, 76
DeQuan Jones, 80
Laron Profit, 77
George Hill, 74
Jordan Hamilton, 79
Clint McDaniel, 76
Bubba Wells, 77
Vincent Yarbrough, 79
Eric Money, 72
Jim Zoet, 85
Mel Payton, 76
Norm Nixon, 74
Mack Daughtry, 75
Dan Anderson, 74
Bob Naber, 75
Maurice Martin, 78
Jeff Mullins, 76
Tom Gola, 78
Joe Johnson, 79
Primoz Brezec, 86
Bob Hogsett, 79
Bison Dele, 81
Earl Jones, 84
Von Wafer, 77
Rasheed Wallace, 82
Darnell Valentine, 73
Kevin Edwards, 75
Jimmy Rayl, 74
Manute Bol, 91
Paul Neumann, 73
Paul Stovall, 76
Jimmie Baker, 81
Nick Jones, 74
Sid Tanenbaum, 72
Bill Bridges, 78
Louis Orr, 80
E.C. Coleman, 80
Monk Meineke, 79
Marlon Redmond, 78
Aaron Swinson, 77
Cliff Barker, 74
LeBron James, 80
Harry Davis, 79
Isaac Austin, 82
Brandon Armstrong, 77
Ernie Barrett, 75
Paul Graham, 78
John Beasley, 81
Malcolm Thomas, 81
Spider Bennett, 75
Bobby Jackson, 73
Willie Murrell, 78
Dick Garrett, 75
Dick McGuire, 72
Jerry Greenspan, 77
Devin Brown, 77
Frank Brickowski, 81
Jason Caffey, 80
Press Maravich, 72
Ivano Newbill, 81
Delonte West, 76
Horace Walker, 75
Tyler Honeycutt, 80
Mike Flynn, 74
Royce White, 80
Winston Garland, 74
Henry Walker, 78
Cozell McQueen, 83
George Mearns, 75
Mario Chalmers, 73
Mickey Rottner, 70
Drazen Petrovic, 77
