Season,Team,Player,Position,Height,GP,MIN,PTS,REB,AST,FGM,FGA,3PM,3PA,Inches,Small
2015-16,Atlanta Hawks,"Bazemore,Kent",F,6' 5'',42,28.21,12.86,4.5,2.38,4.67,10.1,1.69,4.1,77,28.21
2015-16,Atlanta Hawks,"Hardaway Jr.,Tim",G,6' 6'',16,13.88,3.63,1.31,0.94,1.31,3.75,0.5,2,78,13.88
2015-16,Atlanta Hawks,"Holiday,Justin",G,6' 6'',25,10.4,2.44,1.04,0.44,0.92,2.84,0.4,1.76,78,10.4
2015-16,Atlanta Hawks,"Horford,Al",C,6' 10'',47,31.49,15.23,7.15,3,6.51,13,0.96,2.98,82,0
2015-16,Atlanta Hawks,"Korver,Kyle",G,6' 7'',45,30.44,9.47,3.53,2.18,3.4,7.91,1.93,5.07,79,0
2015-16,Atlanta Hawks,"Mack,Shelvin",G,6' 3'',19,8.42,4.21,0.95,1.84,1.79,4.21,0.21,1.21,75,8.42
2015-16,Atlanta Hawks,"Millsap,Paul",F,6' 8'',46,32.72,18.35,8.87,3.48,6.52,13.22,0.8,2.63,80,0
2015-16,Atlanta Hawks,"Muscala,Mike",F,6' 11'',32,10.91,3.44,2.13,0.53,1.34,2.91,0.28,0.91,83,0
2015-16,Atlanta Hawks,"Patterson,Lamar",G,6' 5'',30,12.5,2.63,1.63,1.23,0.87,2.43,0.37,1.5,77,12.5
2015-16,Atlanta Hawks,"Schroder,Dennis",G,6' 1'',45,21.36,10.8,2.82,4.71,4.09,9.82,1.04,3.18,73,21.36
2015-16,Atlanta Hawks,"Scott,Mike",F,6' 8'',41,14.39,6.78,2.24,0.98,2.59,5.05,0.85,2.05,80,0
2015-16,Atlanta Hawks,"Sefolosha,Thabo",F,6' 7'',41,24.27,6.88,4.63,1.49,2.76,5.44,0.49,1.76,79,0
2015-16,Atlanta Hawks,"Splitter,Tiago",C,6' 11'',34,16,5.53,3.26,0.79,2.26,4.38,0,0.06,83,0
2015-16,Atlanta Hawks,"Tavares,Walter",C,7' 3'',8,7.25,2.38,1.88,0.25,1,1.88,0,0,87,0
2015-16,Atlanta Hawks,"Teague,Jeff",G,6' 2'',44,28.43,14.34,2.61,5.48,4.98,11.89,1.09,2.82,74,28.43
2015-16,Boston Celtics,"Bradley,Avery",G,6' 2'',42,32.57,15.05,2.6,2.1,5.9,13.36,2.05,5.6,74,32.57
2015-16,Boston Celtics,"Crowder,Jae",F,6' 6'',47,32.38,14.45,5.11,1.89,4.98,11.09,1.74,4.83,78,32.38
2015-16,Boston Celtics,"Hunter,RJ",G,6' 6'',23,10.61,2.91,1.26,0.39,1.09,3.17,0.52,2.09,78,10.61
2015-16,Boston Celtics,"Jerebko,Jonas",F,6' 10'',46,13.54,3.57,3.09,0.85,1.26,3.28,0.43,1.07,82,0
2015-16,Boston Celtics,"Johnson,Amir",F,6' 9'',44,23.93,7.95,6.43,1.82,3.43,5.91,0.2,0.77,81,0
2015-16,Boston Celtics,"Lee,David",F,6' 9'',30,15.67,7.13,4.33,1.8,2.9,6.4,0,0.03,81,0
2015-16,Boston Celtics,"Mickey,Jordan",F,6' 8'',3,2,2.33,1,0.33,0.67,1,0,0,80,0
2015-16,Boston Celtics,"Olynyk,Kelly",C,7' 0'',46,20.76,10.22,4.43,1.61,3.87,8.43,1.37,3.09,84,0
2015-16,Boston Celtics,"Rozier,Terry",G,6' 2'',18,5.89,1.61,1.06,0.61,0.67,2.72,0.11,0.67,74,5.89
2015-16,Boston Celtics,"Smart,Marcus",G,6' 4'',26,27.12,8.96,4.38,3.15,3.08,9,0.85,3.85,76,27.12
2015-16,Boston Celtics,"Sullinger,Jared",C,6' 9'',46,23.78,9.7,8.74,2.2,3.98,9.57,0.41,1.54,81,0
2015-16,Boston Celtics,"Thomas,Isaiah",G,5' 9'',47,32.36,21.62,2.96,6.64,6.98,16.45,2.02,5.83,69,32.36
2015-16,Boston Celtics,"Turner,Evan",G,6' 7'',47,26.94,9.38,4.51,4.04,3.81,8.72,0.19,1.3,79,0
2015-16,Boston Celtics,"Young,James",G,6' 7'',18,8.61,1.44,1.11,0.39,0.56,1.61,0.28,1.17,79,0
2015-16,Boston Celtics,"Zeller,Tyler",C,7' 0'',30,8.93,4.47,2.33,0.33,1.8,3.87,0,0,84,0
2015-16,Brooklyn Nets,"Bargnani,Andrea",C,7' 0'',40,13.93,6.9,2.08,0.33,2.88,6.28,0.08,0.4,84,0
2015-16,Brooklyn Nets,"Bogdanovic,Bojan",G,6' 8'',46,26.98,9.48,3.43,1.07,3.57,8.41,1.3,3.8,80,0
2015-16,Brooklyn Nets,"Brown,Markel",G,6' 3'',27,10.89,2.48,1.26,0.96,0.74,2.81,0.3,1.41,75,10.89
2015-16,Brooklyn Nets,"Ellington,Wayne",G,6' 4'',45,18.98,6.38,2.07,0.89,2.44,6.51,0.91,2.91,76,18.98
2015-16,Brooklyn Nets,"Hollis-Jefferson,Rondae",G,6' 7'',19,22.05,5.21,6.11,1.42,2.05,4.26,0.05,0.26,79,0
2015-16,Brooklyn Nets,"Jack,Jarrett",G,6' 3'',32,32.09,12.84,4.25,7.38,4.38,11.19,0.97,3.19,75,32.09
