#City GoogleResults Latitude Longitude SearchPhrase
Broken_Arrow 3490 95.7810 36.0365 http://www.google.com/search?q=Broken+Arrow+"tech+hub"
Lewisville 1240 97.0061 33.0383 http://www.google.com/search?q=Lewisville+"tech+hub"
Arlington 73500 97.1247 32.7007 http://www.google.com/search?q=Arlington+"tech+hub"
Clarksville 4730 87.3452 36.5664 http://www.google.com/search?q=Clarksville+"tech+hub"
Daly_City 124000 122.4650 37.7009 http://www.google.com/search?q=Daly+City+"tech+hub"
Montgomery 24100 86.2686 32.3463 http://www.google.com/search?q=Montgomery+"tech+hub"
Newark 43000 74.1726 40.7242 http://www.google.com/search?q=Newark+"tech+hub"
Abilene 3070 99.7381 32.4545 http://www.google.com/search?q=Abilene+"tech+hub"
Sandy_Springs 5580 84.227 33.5615 http://www.google.com/search?q=Sandy+Springs+"tech+hub"
Santa_Rosa 9390 122.7061 38.4468 http://www.google.com/search?q=Santa+Rosa+"tech+hub"
Toledo 11400 83.5819 41.6641 http://www.google.com/search?q=Toledo+"tech+hub"
San_Francisco 122000 122.4193 37.7751 http://www.google.com/search?q=San+Francisco+"tech+hub"
Amarillo 10600 101.8287 35.1978 http://www.google.com/search?q=Amarillo+"tech+hub"
Pomona 7170 117.7613 34.0586 http://www.google.com/search?q=Pomona+"tech+hub"
Henderson 28800 115.0375 36.0122 http://www.google.com/search?q=Henderson+"tech+hub"
Bellevue 29900 122.1565 47.5978 http://www.google.com/search?q=Bellevue+"tech+hub"
Thousand_Oaks 4470 118.8742 34.1933 http://www.google.com/search?q=Thousand+Oaks+"tech+hub"
Tulsa 16600 95.9023 36.1279 http://www.google.com/search?q=Tulsa+"tech+hub"
Sacramento 51700 121.4686 38.5666 http://www.google.com/search?q=Sacramento+"tech+hub"
Grand_Prairie 31200 97.0210 32.6842 http://www.google.com/search?q=Grand+Prairie+"tech+hub"
Fremont 19100 121.9411 37.4944 http://www.google.com/search?q=Fremont+"tech+hub"
Scottsdale 3940 111.8237 33.6687 http://www.google.com/search?q=Scottsdale+"tech+hub"
San_Mateo 14200 122.3131 37.5542 http://www.google.com/search?q=San+Mateo+"tech+hub"
El_Paso 9710 106.4270 31.8484 http://www.google.com/search?q=El+Paso+"tech+hub"
Ann_Arbor 5660 83.7313 42.2756 http://www.google.com/search?q=Ann+Arbor+"tech+hub"
Fort_Wayne 5790 85.1439 41.0882 http://www.google.com/search?q=Fort+Wayne+"tech+hub"
Santa_Clarita 4990 118.5047 34.4049 http://www.google.com/search?q=Santa+Clarita+"tech+hub"
Berkeley 89100 122.2991 37.8667 http://www.google.com/search?q=Berkeley+"tech+hub"
Hartford 8040 72.6833 41.7660 http://www.google.com/search?q=Hartford+"tech+hub"
Atlanta 47400 84.4227 33.7629 http://www.google.com/search?q=Atlanta+"tech+hub"
Palmdale 1840 118.1090 34.5913 http://www.google.com/search?q=Palmdale+"tech+hub"
Tampa 28800 82.4797 27.9701 http://www.google.com/search?q=Tampa+"tech+hub"
Antioch 5660 121.7976 37.9775 http://www.google.com/search?q=Antioch+"tech+hub"
Inglewood 9830 118.3443 33.9561 http://www.google.com/search?q=Inglewood+"tech+hub"
Vallejo 7020 122.2639 38.1079 http://www.google.com/search?q=Vallejo+"tech+hub"
Norfolk 18900 76.2446 36.9230 http://www.google.com/search?q=Norfolk+"tech+hub"
Los_Angeles 80600 118.4108 34.0194 http://www.google.com/search?q=Los+Angeles+"tech+hub"
Miami 46600 80.2086 25.7752 http://www.google.com/search?q=Miami+"tech+hub"
Lakeland 13800 81.9589 28.0411 http://www.google.com/search?q=Lakeland+"tech+hub"
Fort_Collins 2340 105.0648 40.5482 http://www.google.com/search?q=Fort+Collins+"tech+hub"
Lexington 20400 84.4584 38.0402 http://www.google.com/search?q=Lexington+"tech+hub"
Corona 18800 117.5639 33.8624 http://www.google.com/search?q=Corona+"tech+hub"
Augusta 25500 82.0734 33.3655 http://www.google.com/search?q=Augusta+"tech+hub"
